trial_id,category,family,parameters,metric_scope,train_alpha,validation_alpha,recent_alpha,lower_validation_alpha,validation_turnover,recent_turnover,validation_max_drawdown,recent_max_drawdown,coverage_validation,coverage_recent,walkforward_median_alpha,walkforward_p20_alpha,status,notes
T001,baseline,all_cash,gross=0,selection,0,0,0,0.0,0,0,0,0,0,0,0,0,baseline,coverage failure
T002,baseline,equal_weight_universe,all tradable names; benchmark comparator,selection,0.0527,0.0537,0.0699,0.0537,1.23,1.41,0.314,0.196,1,1,,,baseline,not a locked-rule candidate because it holds about 100 names
T003,family_screen,momentum,"lb=21,skip=0,n=10",selection,0.0506,0.046,0.1752,0.046,45.38,43.0,0.27,0.265,1,1,0.0899,-0.041,rejected,broad economically distinct screen
T004,family_screen,momentum,"lb=63,skip=0,n=10",selection,0.107,0.1328,0.0925,0.0925,29.04,27.73,0.301,0.286,1,1,0.078,-0.01,rejected,broad economically distinct screen
T005,family_screen,momentum,"lb=63,skip=5,n=10",selection,0.1161,0.1626,0.1361,0.1361,29.55,26.99,0.303,0.31,1,1,0.0984,0.0072,rejected,broad economically distinct screen
T006,family_screen,momentum,"lb=126,skip=0,n=10",selection,0.1312,0.121,0.0912,0.0912,20.91,19.71,0.318,0.323,1,1,0.0585,-0.0377,rejected,broad economically distinct screen
T007,family_screen,momentum,"lb=126,skip=5,n=10",selection,0.1325,0.1361,0.1695,0.1361,20.69,20.64,0.336,0.329,1,1,0.1421,-0.0348,rejected,broad economically distinct screen
T008,family_screen,momentum,"lb=126,skip=21,n=10",selection,0.0956,0.1804,0.0309,0.0309,21.13,22.74,0.315,0.363,1,1,0.0254,-0.0494,rejected,broad economically distinct screen
T009,family_screen,momentum,"lb=189,skip=10,n=10",selection,0.1457,0.1618,0.1905,0.1618,16.51,18.48,0.342,0.277,1,1,0.1285,-0.0007,rejected,broad economically distinct screen
T010,family_screen,momentum,"lb=252,skip=0,n=10",selection,0.084,0.0651,0.2151,0.0651,16.84,12.81,0.354,0.305,1,0.986,0.0997,-0.0469,rejected,broad economically distinct screen
T011,family_screen,momentum,"lb=252,skip=21,n=10",selection,0.0755,0.1213,0.1749,0.1213,16.93,14.35,0.339,0.341,1,0.986,0.0925,0.01,rejected,broad economically distinct screen
T012,family_screen,momentum,"lb=126,skip=5,n=5",selection,0.1669,0.2192,0.1991,0.1991,24.54,21.54,0.382,0.413,1,1,0.1041,-0.0979,rejected,broad economically distinct screen
T013,family_screen,momentum,"lb=252,skip=21,n=5",selection,0.1191,0.2218,0.3564,0.2218,17.22,14.8,0.378,0.448,1,0.986,0.1184,-0.0261,rejected,broad economically distinct screen
T014,family_screen,rank_blend_momentum,"lb=63/126,weights=.5/.5,skip=5,n=10",selection,0.1236,0.1845,0.1326,0.1326,25.4,25.73,0.318,0.292,1,1,0.0836,-0.0112,rejected,broad economically distinct screen
T015,family_screen,rank_blend_momentum,"lb=63/126/252,weights=.3/.4/.3,skip=5,n=10",selection,0.1211,0.1128,0.1551,0.1128,22.97,21.79,0.336,0.272,1,0.986,0.1086,-0.0114,rejected,broad economically distinct screen
T016,family_screen,rank_blend_momentum,"lb=126/252,weights=.5/.5,skip=10,n=10",selection,0.1245,0.0891,0.1752,0.0891,19.39,19.76,0.348,0.304,1,0.986,0.0968,-0.0077,rejected,broad economically distinct screen
