year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2005,1,2005-01-03,2005-01-07,2005-01-04,,2005-01-03,1.0,0.0,5,AAPL | AMD | GTW | LB | PWER,AAPL:0.2000000000 | AMD:0.2000000000 | GTW:0.2000000000 | LB:0.2000000000 | PWER:0.2000000000,2005-01-06,448
2005,2,2005-01-10,2005-01-14,2005-01-11,,2005-01-10,1.0,0.0,5,AAPL | AMD | LB | NVDA | PWER,AAPL:0.2000000000 | AMD:0.2000000000 | LB:0.2000000000 | NVDA:0.2000000000 | PWER:0.2000000000,2005-01-14,448
2005,3,2005-01-18,2005-01-21,2005-01-19,,2005-01-18,1.0,0.0,5,AMD | ATI | LB | NVDA | PWER,AMD:0.2000000000 | ATI:0.2000000000 | LB:0.2000000000 | NVDA:0.2000000000 | PWER:0.2000000000,2005-01-14,448
2005,4,2005-01-24,2005-01-28,2005-01-26,,2005-01-25,1.0,0.0,5,AMD | GT | LB | NVDA | S,AMD:0.2000000000 | GT:0.2000000000 | LB:0.2000000000 | NVDA:0.2000000000 | S:0.2000000000,2005-01-27,447
2005,5,2005-01-31,2005-02-04,2005-02-02,,2005-02-01,1.0,0.0,5,CIEN | GT | LB | NVDA | S,CIEN:0.2000000000 | GT:0.2000000000 | LB:0.2000000000 | NVDA:0.2000000000 | S:0.2000000000,2005-02-04,447
2005,6,2005-02-07,2005-02-11,2005-02-09,,2005-02-08,1.0,0.0,5,AAPL | CIEN | GT | LB | NVDA,AAPL:0.2000000000 | CIEN:0.2000000000 | GT:0.2000000000 | LB:0.2000000000 | NVDA:0.2000000000,2005-02-04,448
2005,7,2005-02-14,2005-02-18,2005-02-16,,2005-02-15,1.0,0.0,5,AAPL | GT | LB | NTAP | NVDA,AAPL:0.2000000000 | GT:0.2000000000 | LB:0.2000000000 | NTAP:0.2000000000 | NVDA:0.2000000000,2005-02-16,448
2005,8,2005-02-22,2005-02-25,2005-02-24,,2005-02-23,1.0,0.0,5,AAPL | CFC | GT | HUM | MS,AAPL:0.2000000000 | CFC:0.2000000000 | GT:0.2000000000 | HUM:0.2000000000 | MS:0.2000000000,2005-02-25,448
2005,9,2005-02-28,2005-03-04,2005-03-03,,2005-03-02,1.0,0.0,5,GT | HUM | MAY | MS | NVDA,GT:0.2000000000 | HUM:0.2000000000 | MAY:0.2000000000 | MS:0.2000000000 | NVDA:0.2000000000,2005-02-25,448
2005,10,2005-03-07,2005-03-11,2005-03-10,,2005-03-09,1.0,0.0,5,CPWR | HUM | MS | PHM | VLO,CPWR:0.2000000000 | HUM:0.2000000000 | MS:0.2000000000 | PHM:0.2000000000 | VLO:0.2000000000,2005-03-09,448
2005,11,2005-03-14,2005-03-18,2005-03-17,,2005-03-16,1.0,0.0,5,AAPL | CPWR | LSI | MS | VLO,AAPL:0.2000000000 | CPWR:0.2000000000 | LSI:0.2000000000 | MS:0.2000000000 | VLO:0.2000000000,2005-03-17,448
