year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2009,1,2009-01-02,2009-01-02,,2009-01-02,2008-12-30,0.3,0.7,3,FHN | RF | SWN,FHN:0.1000000000 | RF:0.1000000000 | SWN:0.1000000000,2009-01-02,464
2009,2,2009-01-05,2009-01-09,2009-01-08,,2009-01-07,0.5,0.5,5,ADM | BK | FHN | NUE | SUN,ADM:0.1000000000 | BK:0.1000000000 | FHN:0.1000000000 | NUE:0.1000000000 | SUN:0.1000000000,2009-01-09,464
2009,3,2009-01-12,2009-01-16,2009-01-15,,2009-01-14,0.5,0.5,5,ADM | F | NUE | STR | SUN,ADM:0.1000000000 | F:0.1000000000 | NUE:0.1000000000 | STR:0.1000000000 | SUN:0.1000000000,2009-01-15,464
2009,4,2009-01-20,2009-01-23,2009-01-23,,2009-01-22,0.5,0.5,5,ADM | AN | F | NUE | SUN,ADM:0.1000000000 | AN:0.1000000000 | F:0.1000000000 | NUE:0.1000000000 | SUN:0.1000000000,2009-01-15,464
2009,5,2009-01-26,2009-01-30,2009-01-30,,2009-01-29,0.5,0.5,5,AN | LEN | LM | ODP | SUN,AN:0.1000000000 | LEN:0.1000000000 | LM:0.1000000000 | ODP:0.1000000000 | SUN:0.1000000000,2009-01-30,463
2009,6,2009-02-02,2009-02-06,2009-02-06,,2009-02-05,0.5,0.5,5,AN | LEN | LM | ODP | SUN,AN:0.1000000000 | LEN:0.1000000000 | LM:0.1000000000 | ODP:0.1000000000 | SUN:0.1000000000,2009-02-05,463
2009,7,2009-02-09,2009-02-13,2009-02-13,,2009-02-12,0.5,0.5,5,AN | GNW | ODP | PLD | SLM,AN:0.1000000000 | GNW:0.1000000000 | ODP:0.1000000000 | PLD:0.1000000000 | SLM:0.1000000000,2009-02-05,463
2009,8,2009-02-17,2009-02-20,,,2009-02-12,0.5,0.5,5,AN | GNW | ODP | PLD | SLM,AN:0.1000000000 | GNW:0.1000000000 | ODP:0.1000000000 | PLD:0.1000000000 | SLM:0.1000000000,2009-02-18,463
2009,9,2009-02-23,2009-02-27,2009-02-23,,2009-02-20,0.5,0.5,5,GNW | HIG | PLD | SLM | SNDK,GNW:0.1000000000 | HIG:0.1000000000 | PLD:0.1000000000 | SLM:0.1000000000 | SNDK:0.1000000000,2009-02-27,463
2009,10,2009-03-02,2009-03-06,2009-03-02,,2009-02-27,0.5,0.5,5,GNW | HIG | LNC | PLD | SNDK,GNW:0.1000000000 | HIG:0.1000000000 | LNC:0.1000000000 | PLD:0.1000000000 | SNDK:0.1000000000,2009-03-05,463
2009,11,2009-03-09,2009-03-13,2009-03-09,,2009-03-06,0.5,0.5,5,GNW | HIG | MS | MU | PLD,GNW:0.1000000000 | HIG:0.1000000000 | MS:0.1000000000 | MU:0.1000000000 | PLD:0.1000000000,2009-03-10,463
2009,12,2009-03-16,2009-03-20,2009-03-16,,2009-03-13,0.5,0.5,5,CI | CVH | GS | MS | MU,CI:0.1000000000 | CVH:0.1000000000 | GS:0.1000000000 | MS:0.1000000000 | MU:0.1000000000,2009-03-20,464
2009,13,2009-03-23,2009-03-27,2009-03-23,,2009-03-20,0.5,0.5,5,CI | CVH | MS | MU | S,CI:0.1000000000 | CVH:0.1000000000 | MS:0.1000000000 | MU:0.1000000000 | S:0.1000000000,2009-03-27,464
2009,14,2009-03-30,2009-04-03,2009-03-30,,2009-03-27,0.5,0.5,5,CF | FCX | MS | MU | S,CF:0.1000000000 | FCX:0.1000000000 | MS:0.1000000000 | MU:0.1000000000 | S:0.1000000000,2009-04-03,464
2009,15,2009-04-06,2009-04-09,2009-04-06,,2009-04-03,0.5,0.5,5,CF | FCX | MS | MU | S,CF:0.1000000000 | FCX:0.1000000000 | MS:0.1000000000 | MU:0.1000000000 | S:0.1000000000,2009-04-09,464
2009,16,2009-04-13,2009-04-17,2009-04-14,,2009-04-13,0.5,0.5,5,CF | DNR | FCX | MS | S,CF:0.1000000000 | DNR:0.1000000000 | FCX:0.1000000000 | MS:0.1000000000 | S:0.1000000000,2009-04-09,464
2009,17,2009-04-20,2009-04-24,2009-04-21,,2009-04-20,0.5,0.5,5,DNR | FCX | JAVA | MS | S,DNR:0.1000000000 | FCX:0.1000000000 | JAVA:0.1000000000 | MS:0.1000000000 | S:0.1000000000,2009-04-24,464
2009,18,2009-04-27,2009-05-01,2009-04-28,,2009-04-27,0.5,0.5,5,DHI | FCX | JAVA | S | XL,DHI:0.1000000000 | FCX:0.1000000000 | JAVA:0.1000000000 | S:0.1000000000 | XL:0.1000000000,2009-04-28,464
2009,19,2009-05-04,2009-05-08,2009-05-05,,2009-05-04,0.5,0.5,5,DHI | FCX | JAVA | S | XL,DHI:0.1000000000 | FCX:0.1000000000 | JAVA:0.1000000000 | S:0.1000000000 | XL:0.1000000000,2009-05-08,464
2009,20,2009-05-11,2009-05-15,2009-05-12,,2009-05-11,0.5,0.5,5,FCX | S | TWX | TXT | XL,FCX:0.1000000000 | S:0.1000000000 | TWX:0.1000000000 | TXT:0.1000000000 | XL:0.1000000000,2009-05-15,464
2009,21,2009-05-18,2009-05-22,2009-05-19,,2009-05-18,0.5,0.5,5,FITB | HBAN | STI | TWX | XL,FITB:0.1000000000 | HBAN:0.1000000000 | STI:0.1000000000 | TWX:0.1000000000 | XL:0.1000000000,2009-05-18,464
2009,22,2009-05-26,2009-05-29,2009-05-27,,2009-05-26,0.5,0.5,5,AIG | FITB | HBAN | TWX | XL,AIG:0.1000000000 | FITB:0.1000000000 | HBAN:0.1000000000 | TWX:0.1000000000 | XL:0.1000000000,2009-05-29,464
2009,23,2009-06-01,2009-06-05,2009-06-03,,2009-06-02,0.5,0.5,5,AIG | GNW | ODP | TWX | XL,AIG:0.1000000000 | GNW:0.1000000000 | ODP:0.1000000000 | TWX:0.1000000000 | XL:0.1000000000,2009-06-05,464
2009,24,2009-06-08,2009-06-12,2009-06-10,,2009-06-09,0.5,0.5,5,AIG | FITB | GNW | ODP | XL,AIG:0.1000000000 | FITB:0.1000000000 | GNW:0.1000000000 | ODP:0.1000000000 | XL:0.1000000000,2009-06-10,464
2009,25,2009-06-15,2009-06-19,2009-06-17,,2009-06-16,0.5,0.5,5,FITB | GNW | HBAN | ODP | XL,FITB:0.1000000000 | GNW:0.1000000000 | HBAN:0.1000000000 | ODP:0.1000000000 | XL:0.1000000000,2009-06-18,464
2009,26,2009-06-22,2009-06-26,2009-06-24,,2009-06-23,0.5,0.5,5,FITB | GNW | HBAN | ODP | XL,FITB:0.1000000000 | GNW:0.1000000000 | HBAN:0.1000000000 | ODP:0.1000000000 | XL:0.1000000000,2009-06-26,463
2009,27,2009-06-29,2009-07-02,2009-07-01,,2009-06-30,0.5,0.5,5,FITB | GNW | HBAN | LNC | ODP,FITB:0.1000000000 | GNW:0.1000000000 | HBAN:0.1000000000 | LNC:0.1000000000 | ODP:0.1000000000,2009-07-02,463
2009,28,2009-07-06,2009-07-10,2009-07-09,,2009-07-08,0.5,0.5,5,FITB | GNW | HBAN | LNC | ODP,FITB:0.1000000000 | GNW:0.1000000000 | HBAN:0.1000000000 | LNC:0.1000000000 | ODP:0.1000000000,2009-07-09,463
2009,29,2009-07-13,2009-07-17,2009-07-16,,2009-07-15,0.5,0.5,5,FITB | GNW | LNC | ODP | THC,FITB:0.1000000000 | GNW:0.1000000000 | LNC:0.1000000000 | ODP:0.1000000000 | THC:0.1000000000,2009-07-17,463
2009,30,2009-07-20,2009-07-24,2009-07-23,,2009-07-22,0.5,0.5,5,FITB | GNW | LNC | ODP | SLM,FITB:0.1000000000 | GNW:0.1000000000 | LNC:0.1000000000 | ODP:0.1000000000 | SLM:0.1000000000,2009-07-17,463
2009,31,2009-07-27,2009-07-31,2009-07-30,,2009-07-29,0.5,0.5,5,FITB | GNW | LNC | ODP | SLM,FITB:0.1000000000 | GNW:0.1000000000 | LNC:0.1000000000 | ODP:0.1000000000 | SLM:0.1000000000,2009-07-29,464
2009,32,2009-08-03,2009-08-07,2009-08-06,,2009-08-05,0.5,0.5,5,AIG | FITB | GNW | ODP | SLM,AIG:0.1000000000 | FITB:0.1000000000 | GNW:0.1000000000 | ODP:0.1000000000 | SLM:0.1000000000,2009-08-06,465
2009,33,2009-08-10,2009-08-14,2009-08-13,,2009-08-12,0.5,0.5,5,AIG | AKS | GNW | ODP | SLM,AIG:0.1000000000 | AKS:0.1000000000 | GNW:0.1000000000 | ODP:0.1000000000 | SLM:0.1000000000,2009-08-06,465
2009,34,2009-08-17,2009-08-21,2009-08-20,,2009-08-19,0.5,0.5,5,AES | AIG | AKS | LM | SLM,AES:0.1000000000 | AIG:0.1000000000 | AKS:0.1000000000 | LM:0.1000000000 | SLM:0.1000000000,2009-08-21,465
2009,35,2009-08-24,2009-08-28,2009-08-27,,2009-08-26,0.5,0.5,5,AIG | AKS | LM | SLM | XL,AIG:0.1000000000 | AKS:0.1000000000 | LM:0.1000000000 | SLM:0.1000000000 | XL:0.1000000000,2009-08-21,465
2009,36,2009-08-31,2009-09-04,2009-09-03,,2009-09-02,0.5,0.5,5,AIG | FITB | SLM | WYNN | XL,AIG:0.1000000000 | FITB:0.1000000000 | SLM:0.1000000000 | WYNN:0.1000000000 | XL:0.1000000000,2009-09-04,465
2009,37,2009-09-08,2009-09-11,2009-09-11,,2009-09-10,0.5,0.5,5,AIG | LEN | MAS | WM | WYNN,AIG:0.1000000000 | LEN:0.1000000000 | MAS:0.1000000000 | WM:0.1000000000 | WYNN:0.1000000000,2009-09-11,465
2009,38,2009-09-14,2009-09-18,2009-09-18,,2009-09-17,0.5,0.5,5,AIG | LEN | MAS | WM | WYNN,AIG:0.1000000000 | LEN:0.1000000000 | MAS:0.1000000000 | WM:0.1000000000 | WYNN:0.1000000000,2009-09-11,465
2009,39,2009-09-21,2009-09-25,2009-09-25,,2009-09-24,0.5,0.5,5,AIG | HIG | LEN | WM | WYNN,AIG:0.1000000000 | HIG:0.1000000000 | LEN:0.1000000000 | WM:0.1000000000 | WYNN:0.1000000000,2009-09-25,465
2009,40,2009-09-28,2009-10-02,2009-10-02,,2009-10-01,0.5,0.5,5,AIG | HIG | LEN | WM | WYNN,AIG:0.1000000000 | HIG:0.1000000000 | LEN:0.1000000000 | WM:0.1000000000 | WYNN:0.1000000000,2009-09-29,465
2009,41,2009-10-05,2009-10-09,2009-10-09,,2009-10-08,1.0,0.0,5,AIG | HIG | LEN | WM | WYNN,AIG:0.2000000000 | HIG:0.2000000000 | LEN:0.2000000000 | WM:0.2000000000 | WYNN:0.2000000000,2009-10-09,465
2009,42,2009-10-12,2009-10-16,2009-10-16,,2009-10-15,1.0,0.0,5,AIG | GNW | HIG | WM | WYNN,AIG:0.2000000000 | GNW:0.2000000000 | HIG:0.2000000000 | WM:0.2000000000 | WYNN:0.2000000000,2009-10-16,464
2009,43,2009-10-19,2009-10-23,2009-10-23,,2009-10-22,1.0,0.0,5,AIG | GNW | HIG | MI | WM,AIG:0.2000000000 | GNW:0.2000000000 | HIG:0.2000000000 | MI:0.2000000000 | WM:0.2000000000,2009-10-21,464
2009,44,2009-10-26,2009-10-30,2009-10-30,,2009-10-29,1.0,0.0,5,AIG | GNW | HIG | MBI | WM,AIG:0.2000000000 | GNW:0.2000000000 | HIG:0.2000000000 | MBI:0.2000000000 | WM:0.2000000000,2009-10-29,464
2009,45,2009-11-02,2009-11-06,2009-11-06,,2009-11-05,1.0,0.0,5,AIG | AMD | GNW | HIG | THC,AIG:0.2000000000 | AMD:0.2000000000 | GNW:0.2000000000 | HIG:0.2000000000 | THC:0.2000000000,2009-11-06,463
2009,46,2009-11-09,2009-11-13,2009-11-13,,2009-11-12,1.0,0.0,5,AIG | AMD | GNW | HIG | ODP,AIG:0.2000000000 | AMD:0.2000000000 | GNW:0.2000000000 | HIG:0.2000000000 | ODP:0.2000000000,2009-11-10,463
2009,47,2009-11-16,2009-11-20,2009-11-20,,2009-11-19,1.0,0.0,5,AMD | GNW | HIG | LXK | ODP,AMD:0.2000000000 | GNW:0.2000000000 | HIG:0.2000000000 | LXK:0.2000000000 | ODP:0.2000000000,2009-11-18,463
2009,48,2009-11-23,2009-11-27,,,2009-11-19,1.0,0.0,5,AMD | GNW | HIG | LXK | ODP,AMD:0.2000000000 | GNW:0.2000000000 | HIG:0.2000000000 | LXK:0.2000000000 | ODP:0.2000000000,2009-11-27,463
2009,49,2009-11-30,2009-12-04,2009-11-30,,2009-11-27,1.0,0.0,5,AMZN | FSLR | JBL | LXK | PXD,AMZN:0.2000000000 | FSLR:0.2000000000 | JBL:0.2000000000 | LXK:0.2000000000 | PXD:0.2000000000,2009-11-27,464
2009,50,2009-12-07,2009-12-11,2009-12-07,,2009-12-04,1.0,0.0,5,AMZN | HAR | JBL | LXK | PXD,AMZN:0.2000000000 | HAR:0.2000000000 | JBL:0.2000000000 | LXK:0.2000000000 | PXD:0.2000000000,2009-12-09,464
2009,51,2009-12-14,2009-12-18,2009-12-14,,2009-12-11,1.0,0.0,5,AMZN | HAR | JBL | LXK | PXD,AMZN:0.2000000000 | HAR:0.2000000000 | JBL:0.2000000000 | LXK:0.2000000000 | PXD:0.2000000000,2009-12-17,464
2009,52,2009-12-21,2009-12-24,2009-12-21,,2009-12-18,1.0,0.0,5,AMD | AMZN | LXK | RX | SLM,AMD:0.2000000000 | AMZN:0.2000000000 | LXK:0.2000000000 | RX:0.2000000000 | SLM:0.2000000000,2009-12-24,463
2009,53,2009-12-28,2009-12-31,2009-12-29,,2009-12-28,1.0,0.0,5,AMZN | CLF | MEE | RX | SLM,AMZN:0.2000000000 | CLF:0.2000000000 | MEE:0.2000000000 | RX:0.2000000000 | SLM:0.2000000000,2009-12-30,463
