year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2010,1,2010-01-04,2010-01-08,2010-01-06,,2010-01-05,1.0,0.0,5,AMZN | CLF | MEE | RX | SLM,AMZN:0.2000000000 | CLF:0.2000000000 | MEE:0.2000000000 | RX:0.2000000000 | SLM:0.2000000000,2010-01-08,463
2010,2,2010-01-11,2010-01-15,2010-01-13,,2010-01-12,1.0,0.0,5,AMD | AMZN | CLF | RX | SLM,AMD:0.2000000000 | AMZN:0.2000000000 | CLF:0.2000000000 | RX:0.2000000000 | SLM:0.2000000000,2010-01-08,463
2010,3,2010-01-19,2010-01-22,2010-01-21,,2010-01-20,1.0,0.0,5,AMD | AMZN | BDK | CVH | SLM,AMD:0.2000000000 | AMZN:0.2000000000 | BDK:0.2000000000 | CVH:0.2000000000 | SLM:0.2000000000,2010-01-21,463
2010,4,2010-01-25,2010-01-29,2010-01-28,,2010-01-27,1.0,0.0,5,AMD | ATI | BDK | MEE | X,AMD:0.2000000000 | ATI:0.2000000000 | BDK:0.2000000000 | MEE:0.2000000000 | X:0.2000000000,2010-01-29,463
2010,5,2010-02-01,2010-02-05,2010-02-04,,2010-02-03,1.0,0.0,5,AMD | ATI | MEE | NYT | X,AMD:0.2000000000 | ATI:0.2000000000 | MEE:0.2000000000 | NYT:0.2000000000 | X:0.2000000000,2010-02-02,463
2010,6,2010-02-08,2010-02-12,2010-02-11,,2010-02-10,1.0,0.0,5,AMD | ATI | MEE | NYT | X,AMD:0.2000000000 | ATI:0.2000000000 | MEE:0.2000000000 | NYT:0.2000000000 | X:0.2000000000,2010-02-10,463
2010,7,2010-02-16,2010-02-19,2010-02-19,,2010-02-18,1.0,0.0,5,AMD | ATI | NYT | SNDK | X,AMD:0.2000000000 | ATI:0.2000000000 | NYT:0.2000000000 | SNDK:0.2000000000 | X:0.2000000000,2010-02-19,463
2010,8,2010-02-22,2010-02-26,2010-02-26,,2010-02-25,1.0,0.0,5,ATI | MU | NYT | SNDK | ZION,ATI:0.2000000000 | MU:0.2000000000 | NYT:0.2000000000 | SNDK:0.2000000000 | ZION:0.2000000000,2010-02-26,462
2010,9,2010-03-01,2010-03-05,2010-03-05,,2010-03-04,1.0,0.0,5,ATI | GNW | NYT | SNDK | ZION,ATI:0.2000000000 | GNW:0.2000000000 | NYT:0.2000000000 | SNDK:0.2000000000 | ZION:0.2000000000,2010-03-03,462
2010,10,2010-03-08,2010-03-12,2010-03-12,,2010-03-11,1.0,0.0,5,ARG | GNW | LEN | NYT | ZION,ARG:0.2000000000 | GNW:0.2000000000 | LEN:0.2000000000 | NYT:0.2000000000 | ZION:0.2000000000,2010-03-11,462
2010,11,2010-03-15,2010-03-19,2010-03-19,,2010-03-18,1.0,0.0,5,ARG | DHI | GNW | LEN | ZION,ARG:0.2000000000 | DHI:0.2000000000 | GNW:0.2000000000 | LEN:0.2000000000 | ZION:0.2000000000,2010-03-16,462
2010,12,2010-03-22,2010-03-26,2010-03-26,,2010-03-25,1.0,0.0,5,ARG | GNW | LEN | SII | ZION,ARG:0.2000000000 | GNW:0.2000000000 | LEN:0.2000000000 | SII:0.2000000000 | ZION:0.2000000000,2010-03-23,462
2010,13,2010-03-29,2010-04-01,,,2010-03-25,1.0,0.0,5,ARG | GNW | LEN | SII | ZION,ARG:0.2000000000 | GNW:0.2000000000 | LEN:0.2000000000 | SII:0.2000000000 | ZION:0.2000000000,2010-03-31,462
2010,14,2010-04-05,2010-04-09,2010-04-05,,2010-04-01,1.0,0.0,5,ARG | GNW | LEN | SII | ZION,ARG:0.2000000000 | GNW:0.2000000000 | LEN:0.2000000000 | SII:0.2000000000 | ZION:0.2000000000,2010-03-31,462
2010,15,2010-04-12,2010-04-16,2010-04-12,,2010-04-09,1.0,0.0,5,AIG | ARG | GNW | SII | ZION,AIG:0.2000000000 | ARG:0.2000000000 | GNW:0.2000000000 | SII:0.2000000000 | ZION:0.2000000000,2010-04-13,462
2010,16,2010-04-19,2010-04-23,2010-04-19,,2010-04-16,1.0,0.0,5,ANF | ARG | HBAN | SII | ZION,ANF:0.2000000000 | ARG:0.2000000000 | HBAN:0.2000000000 | SII:0.2000000000 | ZION:0.2000000000,2010-04-21,462
2010,17,2010-04-26,2010-04-30,2010-04-26,,2010-04-23,1.0,0.0,5,ANF | ARG | CLF | SII | ZION,ANF:0.2000000000 | ARG:0.2000000000 | CLF:0.2000000000 | SII:0.2000000000 | ZION:0.2000000000,2010-04-30,462
2010,18,2010-05-03,2010-05-07,2010-05-03,,2010-04-30,1.0,0.0,5,ANF | ARG | CLF | SII | X,ANF:0.2000000000 | ARG:0.2000000000 | CLF:0.2000000000 | SII:0.2000000000 | X:0.2000000000,2010-05-07,462
2010,19,2010-05-10,2010-05-14,2010-05-10,,2010-05-07,1.0,0.0,5,AIG | ANF | CLF | SII | X,AIG:0.2000000000 | ANF:0.2000000000 | CLF:0.2000000000 | SII:0.2000000000 | X:0.2000000000,2010-05-11,462
2010,20,2010-05-17,2010-05-21,2010-05-17,,2010-05-14,1.0,0.0,5,AIG | ANF | CLF | TIE | ZION,AIG:0.2000000000 | ANF:0.2000000000 | CLF:0.2000000000 | TIE:0.2000000000 | ZION:0.2000000000,2010-05-21,462
2010,21,2010-05-24,2010-05-28,2010-05-24,,2010-05-21,1.0,0.0,5,AIG | MI | SNDK | TIE | ZION,AIG:0.2000000000 | MI:0.2000000000 | SNDK:0.2000000000 | TIE:0.2000000000 | ZION:0.2000000000,2010-05-28,462
2010,22,2010-06-01,2010-06-04,2010-06-01,,2010-05-28,1.0,0.0,5,AIG | FSLR | HBAN | MI | ZION,AIG:0.2000000000 | FSLR:0.2000000000 | HBAN:0.2000000000 | MI:0.2000000000 | ZION:0.2000000000,2010-06-01,462
2010,23,2010-06-07,2010-06-11,2010-06-08,,2010-06-07,1.0,0.0,5,AIG | AKAM | HBAN | S | ZION,AIG:0.2000000000 | AKAM:0.2000000000 | HBAN:0.2000000000 | S:0.2000000000 | ZION:0.2000000000,2010-06-11,461
2010,24,2010-06-14,2010-06-18,2010-06-15,,2010-06-14,1.0,0.0,5,AKAM | HBAN | S | SNDK | ZION,AKAM:0.2000000000 | HBAN:0.2000000000 | S:0.2000000000 | SNDK:0.2000000000 | ZION:0.2000000000,2010-06-18,461
2010,25,2010-06-21,2010-06-25,2010-06-22,,2010-06-21,1.0,0.0,5,AKAM | HBAN | S | SNDK | TLAB,AKAM:0.2000000000 | HBAN:0.2000000000 | S:0.2000000000 | SNDK:0.2000000000 | TLAB:0.2000000000,2010-06-21,462
2010,26,2010-06-28,2010-07-02,2010-06-29,,2010-06-28,1.0,0.0,5,AKAM | HBAN | S | SNDK | TLAB,AKAM:0.2000000000 | HBAN:0.2000000000 | S:0.2000000000 | SNDK:0.2000000000 | TLAB:0.2000000000,2010-07-02,463
2010,27,2010-07-06,2010-07-09,2010-07-07,,2010-07-06,1.0,0.0,5,AKAM | CRM | NTAP | S | SNDK,AKAM:0.2000000000 | CRM:0.2000000000 | NTAP:0.2000000000 | S:0.2000000000 | SNDK:0.2000000000,2010-07-09,463
2010,28,2010-07-12,2010-07-16,2010-07-14,,2010-07-13,1.0,0.0,5,AKAM | CRM | NTAP | S | SNDK,AKAM:0.2000000000 | CRM:0.2000000000 | NTAP:0.2000000000 | S:0.2000000000 | SNDK:0.2000000000,2010-07-16,462
2010,29,2010-07-19,2010-07-23,2010-07-21,,2010-07-20,1.0,0.0,5,AKAM | CRM | NTAP | S | SNDK,AKAM:0.2000000000 | CRM:0.2000000000 | NTAP:0.2000000000 | S:0.2000000000 | SNDK:0.2000000000,2010-07-22,462
2010,30,2010-07-26,2010-07-30,2010-07-28,,2010-07-27,1.0,0.0,5,AKAM | CRM | NTAP | S | SNDK,AKAM:0.2000000000 | CRM:0.2000000000 | NTAP:0.2000000000 | S:0.2000000000 | SNDK:0.2000000000,2010-07-30,462
2010,31,2010-08-02,2010-08-06,2010-08-04,,2010-08-03,1.0,0.0,5,AKAM | ETFC | NTAP | S | TIE,AKAM:0.2000000000 | ETFC:0.2000000000 | NTAP:0.2000000000 | S:0.2000000000 | TIE:0.2000000000,2010-07-30,462
2010,32,2010-08-09,2010-08-13,2010-08-11,,2010-08-10,1.0,0.0,5,AKAM | ETFC | NTAP | S | TIE,AKAM:0.2000000000 | ETFC:0.2000000000 | NTAP:0.2000000000 | S:0.2000000000 | TIE:0.2000000000,2010-08-11,462
2010,33,2010-08-16,2010-08-20,2010-08-18,,2010-08-17,1.0,0.0,5,DF | ETFC | FSLR | NTAP | TIE,DF:0.2000000000 | ETFC:0.2000000000 | FSLR:0.2000000000 | NTAP:0.2000000000 | TIE:0.2000000000,2010-08-19,462
2010,34,2010-08-23,2010-08-27,2010-08-25,,2010-08-24,1.0,0.0,5,ETFC | FSLR | JBL | NTAP | TIE,ETFC:0.2000000000 | FSLR:0.2000000000 | JBL:0.2000000000 | NTAP:0.2000000000 | TIE:0.2000000000,2010-08-27,461
2010,35,2010-08-30,2010-09-03,2010-09-01,,2010-08-31,1.0,0.0,5,APC | ETFC | FTI | HAL | TIE,APC:0.2000000000 | ETFC:0.2000000000 | FTI:0.2000000000 | HAL:0.2000000000 | TIE:0.2000000000,2010-08-31,461
2010,36,2010-09-07,2010-09-10,2010-09-09,,2010-09-08,1.0,0.0,5,APC | ETFC | FSLR | FTI | HAL,APC:0.2000000000 | ETFC:0.2000000000 | FSLR:0.2000000000 | FTI:0.2000000000 | HAL:0.2000000000,2010-09-09,461
2010,37,2010-09-13,2010-09-17,2010-09-16,,2010-09-15,1.0,0.0,5,APC | CF | CTXS | ETFC | FTI,APC:0.2000000000 | CF:0.2000000000 | CTXS:0.2000000000 | ETFC:0.2000000000 | FTI:0.2000000000,2010-09-09,461
2010,38,2010-09-20,2010-09-24,2010-09-23,,2010-09-22,1.0,0.0,5,APC | CF | CTXS | ETFC | FTI,APC:0.2000000000 | CF:0.2000000000 | CTXS:0.2000000000 | ETFC:0.2000000000 | FTI:0.2000000000,2010-09-21,461
2010,39,2010-09-27,2010-10-01,2010-09-30,,2010-09-29,1.0,0.0,5,APC | CF | CTXS | FTI | MFE,APC:0.2000000000 | CF:0.2000000000 | CTXS:0.2000000000 | FTI:0.2000000000 | MFE:0.2000000000,2010-09-29,461
2010,40,2010-10-04,2010-10-08,2010-10-07,,2010-10-06,1.0,0.0,5,CF | CLF | CRM | CTXS | MFE,CF:0.2000000000 | CLF:0.2000000000 | CRM:0.2000000000 | CTXS:0.2000000000 | MFE:0.2000000000,2010-09-29,461
