year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2011,1,2011-01-03,2011-01-07,2011-01-03,,2010-12-31,1.0,0.0,5,ANF | FFIV | HAR | MEE | MWW,ANF:0.2000000000 | FFIV:0.2000000000 | HAR:0.2000000000 | MEE:0.2000000000 | MWW:0.2000000000,2011-01-05,463
2011,2,2011-01-10,2011-01-14,2011-01-10,,2011-01-07,1.0,0.0,5,ANF | FFIV | HAR | MEE | MWW,ANF:0.2000000000 | FFIV:0.2000000000 | HAR:0.2000000000 | MEE:0.2000000000 | MWW:0.2000000000,2011-01-12,463
2011,3,2011-01-18,2011-01-21,2011-01-18,,2011-01-14,1.0,0.0,5,FFIV | HAR | MEE | MWW | THC,FFIV:0.2000000000 | HAR:0.2000000000 | MEE:0.2000000000 | MWW:0.2000000000 | THC:0.2000000000,2011-01-21,463
2011,4,2011-01-24,2011-01-28,2011-01-25,,2011-01-24,1.0,0.0,5,FFIV | HAR | MEE | MWW | THC,FFIV:0.2000000000 | HAR:0.2000000000 | MEE:0.2000000000 | MWW:0.2000000000 | THC:0.2000000000,2011-01-25,463
2011,5,2011-01-31,2011-02-04,2011-02-01,,2011-01-31,1.0,0.0,5,AIG | HAR | MWW | THC | X,AIG:0.2000000000 | HAR:0.2000000000 | MWW:0.2000000000 | THC:0.2000000000 | X:0.2000000000,2011-02-02,463
2011,6,2011-02-07,2011-02-11,2011-02-08,,2011-02-07,1.0,0.0,5,AIG | MMI | MWW | NVDA | THC,AIG:0.2000000000 | MMI:0.2000000000 | MWW:0.2000000000 | NVDA:0.2000000000 | THC:0.2000000000,2011-02-10,463
2011,7,2011-02-14,2011-02-18,2011-02-15,,2011-02-14,1.0,0.0,5,AIG | DF | MMI | NVDA | THC,AIG:0.2000000000 | DF:0.2000000000 | MMI:0.2000000000 | NVDA:0.2000000000 | THC:0.2000000000,2011-02-10,463
2011,8,2011-02-22,2011-02-25,2011-02-23,,2011-02-22,1.0,0.0,5,DF | MI | MMI | NVDA | THC,DF:0.2000000000 | MI:0.2000000000 | MMI:0.2000000000 | NVDA:0.2000000000 | THC:0.2000000000,2011-02-23,463
2011,9,2011-02-28,2011-03-04,2011-03-02,,2011-03-01,1.0,0.0,5,DF | MI | MMI | NVDA | THC,DF:0.2000000000 | MI:0.2000000000 | MMI:0.2000000000 | NVDA:0.2000000000 | THC:0.2000000000,2011-03-04,462
2011,10,2011-03-07,2011-03-11,2011-03-09,,2011-03-08,1.0,0.0,5,DF | MI | MMI | NVDA | THC,DF:0.2000000000 | MI:0.2000000000 | MMI:0.2000000000 | NVDA:0.2000000000 | THC:0.2000000000,2011-03-07,462
2011,11,2011-03-14,2011-03-18,2011-03-16,,2011-03-15,1.0,0.0,5,BIG | ISRG | MMI | MU | NVDA,BIG:0.2000000000 | ISRG:0.2000000000 | MMI:0.2000000000 | MU:0.2000000000 | NVDA:0.2000000000,2011-03-15,462
2011,12,2011-03-21,2011-03-25,2011-03-23,,2011-03-22,1.0,0.0,5,BIG | MMI | MU | NVDA | TER,BIG:0.2000000000 | MMI:0.2000000000 | MU:0.2000000000 | NVDA:0.2000000000 | TER:0.2000000000,2011-03-23,462
2011,13,2011-03-28,2011-04-01,2011-03-30,,2011-03-29,1.0,0.0,5,BIG | MMI | MU | NVDA | TER,BIG:0.2000000000 | MMI:0.2000000000 | MU:0.2000000000 | NVDA:0.2000000000 | TER:0.2000000000,2011-04-01,462
2011,14,2011-04-04,2011-04-08,2011-04-06,,2011-04-05,1.0,0.0,5,BIG | MU | NVDA | NVLS | TER,BIG:0.2000000000 | MU:0.2000000000 | NVDA:0.2000000000 | NVLS:0.2000000000 | TER:0.2000000000,2011-04-08,462
2011,15,2011-04-11,2011-04-15,2011-04-13,,2011-04-12,1.0,0.0,5,BIG | CHK | HRB | MU | TER,BIG:0.2000000000 | CHK:0.2000000000 | HRB:0.2000000000 | MU:0.2000000000 | TER:0.2000000000,2011-04-12,462
2011,16,2011-04-18,2011-04-21,2011-04-20,,2011-04-19,1.0,0.0,5,BIG | ES | GT | HRB | TER,BIG:0.2000000000 | ES:0.2000000000 | GT:0.2000000000 | HRB:0.2000000000 | TER:0.2000000000,2011-04-12,462
2011,17,2011-04-25,2011-04-29,2011-04-28,,2011-04-27,1.0,0.0,5,BIG | HRB | NFLX | SVU | TER,BIG:0.2000000000 | HRB:0.2000000000 | NFLX:0.2000000000 | SVU:0.2000000000 | TER:0.2000000000,2011-04-29,462
2011,18,2011-05-02,2011-05-06,2011-05-05,,2011-05-04,1.0,0.0,5,BIG | CEPH | HRB | LB | SVU,BIG:0.2000000000 | CEPH:0.2000000000 | HRB:0.2000000000 | LB:0.2000000000 | SVU:0.2000000000,2011-05-05,463
2011,19,2011-05-09,2011-05-13,2011-05-12,,2011-05-11,1.0,0.0,5,CEPH | HRB | LB | NSM | SVU,CEPH:0.2000000000 | HRB:0.2000000000 | LB:0.2000000000 | NSM:0.2000000000 | SVU:0.2000000000,2011-05-13,463
2011,20,2011-05-16,2011-05-20,2011-05-19,,2011-05-18,1.0,0.0,5,CEPH | HRB | LB | NSM | SVU,CEPH:0.2000000000 | HRB:0.2000000000 | LB:0.2000000000 | NSM:0.2000000000 | SVU:0.2000000000,2011-05-20,463
2011,21,2011-05-23,2011-05-27,2011-05-26,,2011-05-25,1.0,0.0,5,CEPH | LB | NSM | SVU | WDC,CEPH:0.2000000000 | LB:0.2000000000 | NSM:0.2000000000 | SVU:0.2000000000 | WDC:0.2000000000,2011-05-23,463
2011,22,2011-05-31,2011-06-03,2011-06-03,,2011-06-02,1.0,0.0,5,CEPH | GT | NSM | SVU | WDC,CEPH:0.2000000000 | GT:0.2000000000 | NSM:0.2000000000 | SVU:0.2000000000 | WDC:0.2000000000,2011-06-03,462
2011,23,2011-06-06,2011-06-10,2011-06-10,,2011-06-09,1.0,0.0,5,ANF | CEPH | GT | NSM | SVU,ANF:0.2000000000 | CEPH:0.2000000000 | GT:0.2000000000 | NSM:0.2000000000 | SVU:0.2000000000,2011-06-10,462
2011,24,2011-06-13,2011-06-17,2011-06-17,,2011-06-16,1.0,0.0,5,ANF | CEPH | DF | NSM | SVU,ANF:0.2000000000 | CEPH:0.2000000000 | DF:0.2000000000 | NSM:0.2000000000 | SVU:0.2000000000,2011-06-13,462
2011,25,2011-06-20,2011-06-24,2011-06-24,,2011-06-23,1.0,0.0,5,ANF | CEPH | DF | NSM | SVU,ANF:0.2000000000 | CEPH:0.2000000000 | DF:0.2000000000 | NSM:0.2000000000 | SVU:0.2000000000,2011-06-23,462
2011,26,2011-06-27,2011-07-01,2011-07-01,,2011-06-30,1.0,0.0,5,ANF | DF | EXPE | NSM | S,ANF:0.2000000000 | DF:0.2000000000 | EXPE:0.2000000000 | NSM:0.2000000000 | S:0.2000000000,2011-07-01,463
2011,27,2011-07-05,2011-07-08,,,2011-06-30,1.0,0.0,5,ANF | DF | EXPE | NSM | S,ANF:0.2000000000 | DF:0.2000000000 | EXPE:0.2000000000 | NSM:0.2000000000 | S:0.2000000000,2011-07-07,462
2011,28,2011-07-11,2011-07-15,2011-07-11,,2011-07-08,1.0,0.0,5,DF | EXPE | FFIV | PLD | S,DF:0.2000000000 | EXPE:0.2000000000 | FFIV:0.2000000000 | PLD:0.2000000000 | S:0.2000000000,2011-07-14,462
2011,29,2011-07-18,2011-07-22,2011-07-18,,2011-07-15,1.0,0.0,5,CF | COG | DF | EXPE | PLD,CF:0.2000000000 | COG:0.2000000000 | DF:0.2000000000 | EXPE:0.2000000000 | PLD:0.2000000000,2011-07-22,462
2011,30,2011-07-25,2011-07-29,2011-07-25,,2011-07-22,1.0,0.0,5,COG | DF | EXPE | M | PLD,COG:0.2000000000 | DF:0.2000000000 | EXPE:0.2000000000 | M:0.2000000000 | PLD:0.2000000000,2011-07-22,462
2011,31,2011-08-01,2011-08-05,2011-08-01,,2011-07-29,1.0,0.0,5,COG | EXPE | M | MA | PLD,COG:0.2000000000 | EXPE:0.2000000000 | M:0.2000000000 | MA:0.2000000000 | PLD:0.2000000000,2011-08-03,462
2011,32,2011-08-08,2011-08-12,2011-08-08,,2011-08-05,1.0,0.0,5,COG | EXPE | MA | NFLX | PLD,COG:0.2000000000 | EXPE:0.2000000000 | MA:0.2000000000 | NFLX:0.2000000000 | PLD:0.2000000000,2011-08-11,462
2011,33,2011-08-15,2011-08-19,2011-08-15,,2011-08-12,1.0,0.0,5,COG | EXPE | MA | NFLX | PLD,COG:0.2000000000 | EXPE:0.2000000000 | MA:0.2000000000 | NFLX:0.2000000000 | PLD:0.2000000000,2011-08-11,462
2011,34,2011-08-22,2011-08-26,2011-08-22,,2011-08-19,1.0,0.0,5,COG | HAL | HP | NOV | PLD,COG:0.2000000000 | HAL:0.2000000000 | HP:0.2000000000 | NOV:0.2000000000 | PLD:0.2000000000,2011-08-23,462
2011,35,2011-08-29,2011-09-02,2011-08-29,,2011-08-26,1.0,0.0,5,COG | HP | NOV | PLD | RRC,COG:0.2000000000 | HP:0.2000000000 | NOV:0.2000000000 | PLD:0.2000000000 | RRC:0.2000000000,2011-08-31,462
2011,36,2011-09-06,2011-09-09,2011-09-06,,2011-09-02,1.0,0.0,5,CAM | COG | LXK | MA | RRC,CAM:0.2000000000 | COG:0.2000000000 | LXK:0.2000000000 | MA:0.2000000000 | RRC:0.2000000000,2011-08-31,462
2011,37,2011-09-12,2011-09-16,2011-09-13,,2011-09-12,1.0,0.0,5,CAM | COG | LXK | MA | RRC,CAM:0.2000000000 | COG:0.2000000000 | LXK:0.2000000000 | MA:0.2000000000 | RRC:0.2000000000,2011-09-13,462
2011,38,2011-09-19,2011-09-23,2011-09-20,,2011-09-19,1.0,0.0,5,COG | LXK | MA | MMI | RRC,COG:0.2000000000 | LXK:0.2000000000 | MA:0.2000000000 | MMI:0.2000000000 | RRC:0.2000000000,2011-09-21,462
2011,39,2011-09-26,2011-09-30,2011-09-27,,2011-09-26,1.0,0.0,5,COG | LXK | MA | MMI | RRC,COG:0.2000000000 | LXK:0.2000000000 | MA:0.2000000000 | MMI:0.2000000000 | RRC:0.2000000000,2011-09-27,462
2011,40,2011-10-03,2011-10-07,2011-10-04,,2011-10-03,0.5,0.5,5,COG | LXK | MA | MMI | RRC,COG:0.1000000000 | LXK:0.1000000000 | MA:0.1000000000 | MMI:0.1000000000 | RRC:0.1000000000,2011-10-07,463
2011,41,2011-10-10,2011-10-14,2011-10-11,,2011-10-10,1.0,0.0,5,COG | LXK | MA | MMI | RRC,COG:0.2000000000 | LXK:0.2000000000 | MA:0.2000000000 | MMI:0.2000000000 | RRC:0.2000000000,2011-10-14,462
2011,42,2011-10-17,2011-10-21,2011-10-18,,2011-10-17,1.0,0.0,5,AMD | CF | LXK | MA | MMI,AMD:0.2000000000 | CF:0.2000000000 | LXK:0.2000000000 | MA:0.2000000000 | MMI:0.2000000000,2011-10-21,463
