year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2012,1,2012-01-03,2012-12-31,2012-01-06,,2012-12-27,1.0,0.0,5,ANF | ES | FSLR | NFLX | THC,ANF:0.2000000000 | ES:0.2000000000 | FSLR:0.2000000000 | NFLX:0.2000000000 | THC:0.2000000000,2012-12-28,470
2012,2,2012-01-09,2012-01-13,2012-01-13,,2012-01-12,1.0,0.0,5,FFIV | GT | HP | PHM | PXD,FFIV:0.2000000000 | GT:0.2000000000 | HP:0.2000000000 | PHM:0.2000000000 | PXD:0.2000000000,2012-01-12,467
2012,3,2012-01-17,2012-01-20,,,2012-01-12,1.0,0.0,5,FFIV | GT | HP | PHM | PXD,FFIV:0.2000000000 | GT:0.2000000000 | HP:0.2000000000 | PHM:0.2000000000 | PXD:0.2000000000,2012-01-20,467
2012,4,2012-01-23,2012-01-27,2012-01-23,,2012-01-20,1.0,0.0,5,FFIV | HP | PHM | VMC | WDC,FFIV:0.2000000000 | HP:0.2000000000 | PHM:0.2000000000 | VMC:0.2000000000 | WDC:0.2000000000,2012-01-23,467
2012,5,2012-01-30,2012-02-03,2012-01-30,,2012-01-27,1.0,0.0,5,AKAM | PHM | TRIP | VMC | X,AKAM:0.2000000000 | PHM:0.2000000000 | TRIP:0.2000000000 | VMC:0.2000000000 | X:0.2000000000,2012-02-02,467
2012,6,2012-02-06,2012-02-10,2012-02-06,,2012-02-03,1.0,0.0,5,AKAM | MU | PHM | TRIP | VMC,AKAM:0.2000000000 | MU:0.2000000000 | PHM:0.2000000000 | TRIP:0.2000000000 | VMC:0.2000000000,2012-02-10,467
2012,7,2012-02-13,2012-02-17,2012-02-13,,2012-02-10,1.0,0.0,5,JEF | MU | PHM | TRIP | VMC,JEF:0.2000000000 | MU:0.2000000000 | PHM:0.2000000000 | TRIP:0.2000000000 | VMC:0.2000000000,2012-02-10,467
2012,8,2012-02-21,2012-02-24,2012-02-21,,2012-02-17,1.0,0.0,5,JEF | MAS | PHM | TRIP | VMC,JEF:0.2000000000 | MAS:0.2000000000 | PHM:0.2000000000 | TRIP:0.2000000000 | VMC:0.2000000000,2012-02-23,467
2012,9,2012-02-27,2012-03-02,2012-02-28,,2012-02-27,1.0,0.0,5,JEF | MAS | NFLX | PHM | TRIP,JEF:0.2000000000 | MAS:0.2000000000 | NFLX:0.2000000000 | PHM:0.2000000000 | TRIP:0.2000000000,2012-03-02,467
2012,10,2012-03-05,2012-03-09,2012-03-06,,2012-03-05,1.0,0.0,5,JEF | MAS | MS | NFLX | TRIP,JEF:0.2000000000 | MAS:0.2000000000 | MS:0.2000000000 | NFLX:0.2000000000 | TRIP:0.2000000000,2012-03-02,467
2012,11,2012-03-12,2012-03-16,2012-03-13,,2012-03-12,1.0,0.0,5,BAC | MAS | NFLX | PHM | TRIP,BAC:0.2000000000 | MAS:0.2000000000 | NFLX:0.2000000000 | PHM:0.2000000000 | TRIP:0.2000000000,2012-03-16,467
