year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2017,1,2017-01-03,2017-01-06,2017-01-03,,2016-12-30,1.0,0.0,5,FCX | HAR | LNC | NVDA | RF,FCX:0.2000000000 | HAR:0.2000000000 | LNC:0.2000000000 | NVDA:0.2000000000 | RF:0.2000000000,2017-01-06,491
2017,2,2017-01-09,2017-01-13,2017-01-10,,2017-01-09,1.0,0.0,5,FCX | HAR | LNC | NVDA | RF,FCX:0.2000000000 | HAR:0.2000000000 | LNC:0.2000000000 | NVDA:0.2000000000 | RF:0.2000000000,2017-01-13,491
2017,3,2017-01-17,2017-01-20,2017-01-18,,2017-01-17,1.0,0.0,5,FCX | HAR | NVDA | RF | RIG,FCX:0.2000000000 | HAR:0.2000000000 | NVDA:0.2000000000 | RF:0.2000000000 | RIG:0.2000000000,2017-01-20,491
2017,4,2017-01-23,2017-01-27,2017-01-25,,2017-01-24,1.0,0.0,5,FCX | HAR | NVDA | RF | RIG,FCX:0.2000000000 | HAR:0.2000000000 | NVDA:0.2000000000 | RF:0.2000000000 | RIG:0.2000000000,2017-01-27,491
2017,5,2017-01-30,2017-02-03,2017-02-01,,2017-01-31,1.0,0.0,5,HAR | NVDA | RF | RIG | URI,HAR:0.2000000000 | NVDA:0.2000000000 | RF:0.2000000000 | RIG:0.2000000000 | URI:0.2000000000,2017-02-03,491
2017,6,2017-02-06,2017-02-10,2017-02-08,,2017-02-07,1.0,0.0,5,CF | HAR | NVDA | RIG | URI,CF:0.2000000000 | HAR:0.2000000000 | NVDA:0.2000000000 | RIG:0.2000000000 | URI:0.2000000000,2017-02-06,491
2017,7,2017-02-13,2017-02-17,2017-02-15,,2017-02-14,1.0,0.0,5,CF | CHK | HAR | NRG | RIG,CF:0.2000000000 | CHK:0.2000000000 | HAR:0.2000000000 | NRG:0.2000000000 | RIG:0.2000000000,2017-02-16,491
2017,8,2017-02-21,2017-02-24,2017-02-23,,2017-02-22,1.0,0.0,5,CF | CSX | ILMN | NRG | RIG,CF:0.2000000000 | CSX:0.2000000000 | ILMN:0.2000000000 | NRG:0.2000000000 | RIG:0.2000000000,2017-02-24,491
2017,9,2017-02-27,2017-03-03,2017-03-02,,2017-03-01,1.0,0.0,5,CF | CSX | ILMN | NRG | RIG,CF:0.2000000000 | CSX:0.2000000000 | ILMN:0.2000000000 | NRG:0.2000000000 | RIG:0.2000000000,2017-03-03,491
2017,10,2017-03-06,2017-03-10,2017-03-09,,2017-03-08,1.0,0.0,5,CF | CSX | ILMN | NRG | NVDA,CF:0.2000000000 | CSX:0.2000000000 | ILMN:0.2000000000 | NRG:0.2000000000 | NVDA:0.2000000000,2017-03-10,491
2017,11,2017-03-13,2017-03-17,2017-03-16,,2017-03-15,1.0,0.0,5,CF | CSX | ILMN | NRG | NVDA,CF:0.2000000000 | CSX:0.2000000000 | ILMN:0.2000000000 | NRG:0.2000000000 | NVDA:0.2000000000,2017-03-17,491
2017,12,2017-03-20,2017-03-24,2017-03-23,,2017-03-22,1.0,0.0,5,AMD | CNC | CSX | ILMN | NRG,AMD:0.2000000000 | CNC:0.2000000000 | CSX:0.2000000000 | ILMN:0.2000000000 | NRG:0.2000000000,2017-03-22,491
2017,13,2017-03-27,2017-03-31,2017-03-30,,2017-03-29,1.0,0.0,5,AMD | CSX | ILMN | INCY | NRG,AMD:0.2000000000 | CSX:0.2000000000 | ILMN:0.2000000000 | INCY:0.2000000000 | NRG:0.2000000000,2017-03-30,491
2017,14,2017-04-03,2017-04-07,2017-04-06,,2017-04-05,1.0,0.0,5,ATVI | CSX | ILMN | INCY | NRG,ATVI:0.2000000000 | CSX:0.2000000000 | ILMN:0.2000000000 | INCY:0.2000000000 | NRG:0.2000000000,2017-04-06,491
2017,15,2017-04-10,2017-04-13,2017-04-13,,2017-04-12,1.0,0.0,5,AMD | ATVI | CSX | INCY | NRG,AMD:0.2000000000 | ATVI:0.2000000000 | CSX:0.2000000000 | INCY:0.2000000000 | NRG:0.2000000000,2017-04-11,491
2017,16,2017-04-17,2017-04-21,2017-04-21,,2017-04-20,1.0,0.0,5,AMD | ATVI | INCY | NRG | WYNN,AMD:0.2000000000 | ATVI:0.2000000000 | INCY:0.2000000000 | NRG:0.2000000000 | WYNN:0.2000000000,2017-04-20,491
2017,17,2017-04-24,2017-04-28,2017-04-28,,2017-04-27,1.0,0.0,5,AMD | ATVI | INCY | MU | WYNN,AMD:0.2000000000 | ATVI:0.2000000000 | INCY:0.2000000000 | MU:0.2000000000 | WYNN:0.2000000000,2017-04-25,491
2017,18,2017-05-01,2017-05-05,2017-05-05,,2017-05-04,1.0,0.0,5,AMD | ATVI | INCY | MU | WYNN,AMD:0.2000000000 | ATVI:0.2000000000 | INCY:0.2000000000 | MU:0.2000000000 | WYNN:0.2000000000,2017-05-03,491
2017,19,2017-05-08,2017-05-12,2017-05-12,,2017-05-11,1.0,0.0,5,ATVI | INCY | MU | VRTX | WYNN,ATVI:0.2000000000 | INCY:0.2000000000 | MU:0.2000000000 | VRTX:0.2000000000 | WYNN:0.2000000000,2017-05-03,491
2017,20,2017-05-15,2017-05-19,2017-05-19,,2017-05-18,1.0,0.0,5,FMC | HRB | MU | VRTX | WYNN,FMC:0.2000000000 | HRB:0.2000000000 | MU:0.2000000000 | VRTX:0.2000000000 | WYNN:0.2000000000,2017-05-19,491
2017,21,2017-05-22,2017-05-26,2017-05-26,,2017-05-25,1.0,0.0,5,FMC | HRB | MU | VRTX | WYNN,FMC:0.2000000000 | HRB:0.2000000000 | MU:0.2000000000 | VRTX:0.2000000000 | WYNN:0.2000000000,2017-05-23,491
2017,22,2017-05-30,2017-06-02,,,2017-05-25,1.0,0.0,5,FMC | HRB | MU | VRTX | WYNN,FMC:0.2000000000 | HRB:0.2000000000 | MU:0.2000000000 | VRTX:0.2000000000 | WYNN:0.2000000000,2017-06-02,491
2017,23,2017-06-05,2017-06-09,2017-06-05,,2017-06-02,1.0,0.0,5,BCR | FMC | HRB | VRTX | WYNN,BCR:0.2000000000 | FMC:0.2000000000 | HRB:0.2000000000 | VRTX:0.2000000000 | WYNN:0.2000000000,2017-06-07,491
2017,24,2017-06-12,2017-06-16,2017-06-12,,2017-06-09,1.0,0.0,5,BCR | FMC | NVDA | VRTX | WYNN,BCR:0.2000000000 | FMC:0.2000000000 | NVDA:0.2000000000 | VRTX:0.2000000000 | WYNN:0.2000000000,2017-06-16,490
2017,25,2017-06-19,2017-06-23,2017-06-19,,2017-06-16,1.0,0.0,5,BCR | FMC | NVDA | VRTX | WFM,BCR:0.2000000000 | FMC:0.2000000000 | NVDA:0.2000000000 | VRTX:0.2000000000 | WFM:0.2000000000,2017-06-23,492
2017,26,2017-06-26,2017-06-30,2017-06-26,,2017-06-23,1.0,0.0,5,BCR | FMC | NVDA | VRTX | WFM,BCR:0.2000000000 | FMC:0.2000000000 | NVDA:0.2000000000 | VRTX:0.2000000000 | WFM:0.2000000000,2017-06-26,492
