year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2019,1,2019-01-02,2019-12-31,,,2019-12-24,1.0,0.0,5,ALGN | AMD | PEAK | QRVO | TIF,ALGN:0.2000000000 | AMD:0.2000000000 | PEAK:0.2000000000 | QRVO:0.2000000000 | TIF:0.2000000000,2019-12-23,502
2019,2,2019-01-07,2019-01-11,2019-01-07,,2019-01-04,0.5,0.5,5,NWL | RHT | TRIP | TWTR | XLNX,NWL:0.1000000000 | RHT:0.1000000000 | TRIP:0.1000000000 | TWTR:0.1000000000 | XLNX:0.1000000000,2019-01-11,502
2019,3,2019-01-14,2019-01-18,2019-01-14,,2019-01-11,0.5,0.5,5,NWL | RHT | TRIP | TWTR | XLNX,NWL:0.1000000000 | RHT:0.1000000000 | TRIP:0.1000000000 | TWTR:0.1000000000 | XLNX:0.1000000000,2019-01-18,502
2019,4,2019-01-22,2019-01-25,2019-01-22,,2019-01-18,0.5,0.5,5,NWL | RHT | TRIP | TWTR | XLNX,NWL:0.1000000000 | RHT:0.1000000000 | TRIP:0.1000000000 | TWTR:0.1000000000 | XLNX:0.1000000000,2019-01-18,502
2019,5,2019-01-28,2019-02-01,2019-01-29,,2019-01-28,0.5,0.5,5,MCHP | NWL | RHT | TRIP | XLNX,MCHP:0.1000000000 | NWL:0.1000000000 | RHT:0.1000000000 | TRIP:0.1000000000 | XLNX:0.1000000000,2019-01-18,502
2019,6,2019-02-04,2019-02-08,2019-02-05,,2019-02-04,0.5,0.5,5,CELG | FL | NEM | NWL | XRAY,CELG:0.1000000000 | FL:0.1000000000 | NEM:0.1000000000 | NWL:0.1000000000 | XRAY:0.1000000000,2019-01-18,502
2019,7,2019-02-11,2019-02-15,2019-02-12,,2019-02-11,1.0,0.0,5,CELG | DLTR | FL | MCHP | NKTR,CELG:0.2000000000 | DLTR:0.2000000000 | FL:0.2000000000 | MCHP:0.2000000000 | NKTR:0.2000000000,2019-02-15,502
2019,8,2019-02-19,2019-02-22,2019-02-20,,2019-02-19,1.0,0.0,5,CELG | FL | INCY | NFLX | NKTR,CELG:0.2000000000 | FL:0.2000000000 | INCY:0.2000000000 | NFLX:0.2000000000 | NKTR:0.2000000000,2019-02-15,502
2019,9,2019-02-25,2019-03-01,2019-02-27,,2019-02-26,1.0,0.0,5,CELG | INCY | NFLX | NKTR | XLNX,CELG:0.2000000000 | INCY:0.2000000000 | NFLX:0.2000000000 | NKTR:0.2000000000 | XLNX:0.2000000000,2019-02-27,502
2019,10,2019-03-04,2019-03-08,2019-03-06,,2019-03-05,1.0,0.0,5,CELG | GE | INCY | NFLX | XLNX,CELG:0.2000000000 | GE:0.2000000000 | INCY:0.2000000000 | NFLX:0.2000000000 | XLNX:0.2000000000,2019-02-27,502
2019,11,2019-03-11,2019-03-15,2019-03-13,,2019-03-12,1.0,0.0,5,CELG | GE | INCY | NFLX | XLNX,CELG:0.2000000000 | GE:0.2000000000 | INCY:0.2000000000 | NFLX:0.2000000000 | XLNX:0.2000000000,2019-02-27,502
2019,12,2019-03-18,2019-03-22,2019-03-20,,2019-03-19,1.0,0.0,5,CELG | COTY | GE | NFLX | XLNX,CELG:0.2000000000 | COTY:0.2000000000 | GE:0.2000000000 | NFLX:0.2000000000 | XLNX:0.2000000000,2019-02-27,502
