year,first_date,last_date,sessions,training_set,validation_set,original_sealed_test,status,strategy_return,spy_return,qqq_return,active_vs_spy,active_vs_qqq,beat_spy,beat_qqq,notes
2000,2000-01-03,2000-12-29,252,no,no,yes,sealed_year,-0.0828822943422349,-0.1057861213330202,-0.3931121219304109,0.0229038269907853,0.3102298275881759,True,True,Original sealed episode used a separate 60-stock universe; return here is continuous full-SP500 replay
2001,2001-01-02,2001-12-31,248,no,no,no,unrevealed_retrospective_holdout,-0.1612786538328541,-0.1230165311094743,-0.3355816138477062,-0.0382621227233798,0.1743029600148521,False,True,Jan 2 was terminal boundary for the 2000 sealed episode
2002,2002-01-02,2002-12-31,252,no,no,no,unrevealed_retrospective_holdout,-0.0408807621781854,-0.2213637794147314,-0.3841295157261076,0.1804830172365459,0.3432487535479221,True,True,
2003,2003-01-02,2003-12-31,252,partial,no,no,training_boundary_partial,0.3504747100659666,0.2728701040740846,0.4754948510542491,0.077604605991882,-0.1250201409882825,True,False,Only Dec 30-31 were in the visible fit panel
2004,2004-01-02,2004-12-31,252,yes,no,no,training_fit,0.399844027652831,0.1024220294595499,0.0993550505964055,0.2974219981932811,0.3004889770564254,True,True,Visible anonymously to candidate
2005,2005-01-03,2005-12-30,252,yes,no,no,training_fit,0.3063572264143861,0.0423328722934375,0.0113479214705711,0.2640243541209486,0.2950093049438149,True,True,Visible anonymously to candidate
2006,2006-01-03,2006-12-29,251,yes,partial,no,training_with_validation_boundary,-0.0063698815840561,0.1521595619856863,0.0651147634749091,-0.1585294435697425,-0.0714846450589653,False,False,Fit through Dec 28; validation/check began Dec 29
2007,2007-01-03,2007-12-31,251,no,yes,no,validation_check,0.1692189357427653,0.0468055021178448,0.1820642309689031,0.1224134336249205,-0.0128452952261377,True,False,Visible anonymously to candidate
2008,2008-01-02,2008-12-31,253,no,no,yes,sealed_year,-0.3019719924671727,-0.3693304918640934,-0.4178398843464002,0.0673584993969206,0.1158678918792274,True,True,Original sealed episode used a separate 60-stock universe; return here is continuous full-SP500 replay
2009,2009-01-02,2009-12-31,252,no,no,no,unrevealed_retrospective_holdout,0.1121140276778502,0.2607231359527184,0.5463203736672824,-0.1486091082748681,-0.4342063459894321,False,False,Jan 2 was terminal boundary for the 2008 sealed episode
2010,2010-01-04,2010-12-31,252,no,no,no,unrevealed_retrospective_holdout,0.2807735199360288,0.1410391555315278,0.1863974297090695,0.139734364404501,0.0943760902269592,True,True,
2011,2011-01-03,2011-12-30,252,no,no,no,unrevealed_retrospective_holdout,-0.2905099694128151,0.011229760890232,0.0251578369713318,-0.3017397303030472,-0.315667806384147,False,False,
2012,2012-01-03,2012-12-31,250,no,no,no,unrevealed_retrospective_holdout,0.2496360619907947,0.1393852336279966,0.1587104764164266,0.110250828362798,0.090925585574368,True,True,
2013,2013-01-02,2013-12-31,252,no,no,no,unrevealed_retrospective_holdout,0.5233439055717872,0.2984596507675752,0.3335802693469252,0.224884254804212,0.189763636224862,True,True,
2014,2014-01-02,2014-12-31,252,no,no,no,unrevealed_retrospective_holdout,0.1724536151083022,0.1390165238190941,0.1973949799327419,0.0334370912892081,-0.0249413648244396,True,False,
2015,2015-01-02,2015-12-31,252,no,no,no,unrevealed_retrospective_holdout,0.0011405146103689,0.0082226713156523,0.0889801553203155,-0.0070821567052834,-0.0878396407099466,False,False,
2016,2016-01-04,2016-12-30,252,no,no,no,unrevealed_retrospective_holdout,0.4080152751591299,0.138860083978606,0.0945609161446661,0.2691551911805239,0.3134543590144638,True,True,
2017,2017-01-03,2017-12-29,251,no,no,no,unrevealed_retrospective_holdout,0.1913806989427791,0.20888786799786,0.3178485425177026,-0.0175071690550809,-0.1264678435749235,False,False,
2018,2018-01-02,2018-12-31,251,yes,no,no,training_fit,-0.1951641034910732,-0.0491817533116432,-0.0063654890957759,-0.14598235017943,-0.1887986143952973,False,False,Visible anonymously to candidate
2019,2019-01-02,2019-12-31,252,yes,no,no,training_fit,0.2039923783159816,0.333257882441841,0.4197102590192474,-0.1292655041258594,-0.2157178807032658,False,False,Visible anonymously to candidate
2020,2020-01-02,2020-12-31,253,yes,no,no,training_fit,-0.2504529558215037,0.1771710424348134,0.471671149553448,-0.4276239982563171,-0.7221241053749518,False,False,Visible anonymously to candidate
2021,2021-01-04,2021-12-31,252,no,yes,no,validation_check,-0.0328013174074351,0.2823829949590344,0.2686574071738419,-0.3151843123664696,-0.3014587245812771,False,False,Visible anonymously to candidate
2022,2022-01-03,2022-12-30,251,no,no,yes,sealed_year,-0.2464310534057171,-0.184055863947984,-0.3277972777719059,-0.0623751894577331,0.0813662243661887,False,True,Original sealed episode used a separate 60-stock universe; return here is continuous full-SP500 replay
2023,2023-01-03,2023-12-29,250,no,no,no,unrevealed_retrospective_holdout,0.2444706834887351,0.2553895427174339,0.5348947208949102,-0.0109188592286988,-0.290424037406175,False,False,Jan 3 was terminal boundary for the 2022 sealed episode
2024,2024-01-02,2024-12-31,252,no,no,no,unrevealed_retrospective_holdout,0.2118849235306499,0.2571964596404308,0.2671694688937893,-0.0453115361097808,-0.0552845453631394,False,False,
2025,2025-01-02,2025-12-31,250,no,no,no,unrevealed_retrospective_holdout,0.7284305020341753,0.1705796242617439,0.2005161530871617,0.5578508777724314,0.5279143489470135,True,True,
2026,2026-01-02,2026-08-25,162,no,no,no,mixed_unrevealed_and_forward,1.2227921068222218,0.1228948624863401,0.1489181378325141,1.0998972443358817,1.0738739689897077,True,True,Jan 2-Aug 7 retrospective holdout; Aug 10-25 post-freeze forward performance. Weekly holdings extend through Aug 26.
