effective_session,source_signal_date,rebalance_at_open,forced_universe_exit_at_open,buy,sell,held_during_session,target_weights,gross_target,cash_target
2000-01-03,1999-12-28,False,False,CTXS | GTW | NTAP | ORCL | QCOM,,CTXS | GTW | NTAP | ORCL | QCOM,CTXS:0.2000000000 | GTW:0.2000000000 | NTAP:0.2000000000 | ORCL:0.2000000000 | QCOM:0.2000000000,1.0,0.0
2000-01-05,2000-01-04,True,False,FBF,GTW,CTXS | FBF | NTAP | ORCL | QCOM,CTXS:0.2000000000 | FBF:0.2000000000 | NTAP:0.2000000000 | ORCL:0.2000000000 | QCOM:0.2000000000,1.0,0.0
2000-02-10,2000-02-09,True,False,NOVL,CTXS,FBF | NOVL | NTAP | ORCL | QCOM,FBF:0.2000000000 | NOVL:0.2000000000 | NTAP:0.2000000000 | ORCL:0.2000000000 | QCOM:0.2000000000,1.0,0.0
2000-02-25,2000-02-24,True,False,LB | MS,FBF | ORCL,LB | MS | NOVL | NTAP | QCOM,LB:0.2000000000 | MS:0.2000000000 | NOVL:0.2000000000 | NTAP:0.2000000000 | QCOM:0.2000000000,1.0,0.0
2000-03-10,2000-03-09,True,False,QTRN,QCOM,LB | MS | NOVL | NTAP | QTRN,LB:0.2000000000 | MS:0.2000000000 | NOVL:0.2000000000 | NTAP:0.2000000000 | QTRN:0.2000000000,1.0,0.0
2000-03-17,2000-03-16,True,False,CNXT,QTRN,CNXT | LB | MS | NOVL | NTAP,CNXT:0.2000000000 | LB:0.2000000000 | MS:0.2000000000 | NOVL:0.2000000000 | NTAP:0.2000000000,1.0,0.0
2000-03-24,2000-03-23,True,False,ADI,NOVL,ADI | CNXT | LB | MS | NTAP,ADI:0.2000000000 | CNXT:0.2000000000 | LB:0.2000000000 | MS:0.2000000000 | NTAP:0.2000000000,1.0,0.0
2000-03-31,2000-03-30,True,False,COMS | LSI,CNXT | LB,ADI | COMS | LSI | MS | NTAP,ADI:0.2000000000 | COMS:0.2000000000 | LSI:0.2000000000 | MS:0.2000000000 | NTAP:0.2000000000,1.0,0.0
2000-04-07,2000-04-06,True,False,SFA,COMS,ADI | LSI | MS | NTAP | SFA,ADI:0.2000000000 | LSI:0.2000000000 | MS:0.2000000000 | NTAP:0.2000000000 | SFA:0.2000000000,1.0,0.0
2000-04-14,2000-04-13,True,False,ADSK,ADI,ADSK | LSI | MS | NTAP | SFA,ADSK:0.2000000000 | LSI:0.2000000000 | MS:0.2000000000 | NTAP:0.2000000000 | SFA:0.2000000000,1.0,0.0
2000-05-01,2000-04-28,True,False,MU,ADSK,LSI | MS | MU | NTAP | SFA,LSI:0.2000000000 | MS:0.2000000000 | MU:0.2000000000 | NTAP:0.2000000000 | SFA:0.2000000000,1.0,0.0
2000-05-08,2000-05-05,True,False,AMD | MSI | TMC,MS | NTAP | SFA,AMD | LSI | MSI | MU | TMC,AMD:0.2000000000 | LSI:0.2000000000 | MSI:0.2000000000 | MU:0.2000000000 | TMC:0.2000000000,1.0,0.0
2000-05-15,2000-05-12,True,False,MIR | NGH,LSI | MSI,AMD | MIR | MU | NGH | TMC,AMD:0.2000000000 | MIR:0.2000000000 | MU:0.2000000000 | NGH:0.2000000000 | TMC:0.2000000000,1.0,0.0
2000-05-22,2000-05-19,True,False,RBK,NGH,AMD | MIR | MU | RBK | TMC,AMD:0.2000000000 | MIR:0.2000000000 | MU:0.2000000000 | RBK:0.2000000000 | TMC:0.2000000000,1.0,0.0
2000-05-30,2000-05-26,True,False,BBY,MIR,AMD | BBY | MU | RBK | TMC,AMD:0.2000000000 | BBY:0.2000000000 | MU:0.2000000000 | RBK:0.2000000000 | TMC:0.2000000000,1.0,0.0
2000-06-06,2000-06-05,True,False,NGH | UPR,BBY | MU,AMD | NGH | RBK | TMC | UPR,AMD:0.2000000000 | NGH:0.2000000000 | RBK:0.2000000000 | TMC:0.2000000000 | UPR:0.2000000000,1.0,0.0
2000-06-13,2000-06-12,True,False,BBBY,TMC,AMD | BBBY | NGH | RBK | UPR,AMD:0.2000000000 | BBBY:0.2000000000 | NGH:0.2000000000 | RBK:0.2000000000 | UPR:0.2000000000,1.0,0.0
2000-06-20,2000-06-19,True,False,UNM,BBBY,AMD | NGH | RBK | UNM | UPR,AMD:0.2000000000 | NGH:0.2000000000 | RBK:0.2000000000 | UNM:0.2000000000 | UPR:0.2000000000,1.0,0.0
2000-06-27,2000-06-26,True,False,AW,AMD,AW | NGH | RBK | UNM | UPR,AW:0.2000000000 | NGH:0.2000000000 | RBK:0.2000000000 | UNM:0.2000000000 | UPR:0.2000000000,1.0,0.0
2000-07-05,2000-07-03,True,False,BEAM,UPR,AW | BEAM | NGH | RBK | UNM,AW:0.2000000000 | BEAM:0.2000000000 | NGH:0.2000000000 | RBK:0.2000000000 | UNM:0.2000000000,1.0,0.0
2000-07-12,2000-07-11,True,False,ADCT | MS,RBK | UNM,ADCT | AW | BEAM | MS | NGH,ADCT:0.2000000000 | AW:0.2000000000 | BEAM:0.2000000000 | MS:0.2000000000 | NGH:0.2000000000,1.0,0.0
2000-07-19,2000-07-18,True,False,SAPE,AW,ADCT | BEAM | MS | NGH | SAPE,ADCT:0.2000000000 | BEAM:0.2000000000 | MS:0.2000000000 | NGH:0.2000000000 | SAPE:0.2000000000,1.0,0.0
2000-08-09,2000-08-08,True,False,CNC | MU | SANM,ADCT | NGH | SAPE,BEAM | CNC | MS | MU | SANM,BEAM:0.2000000000 | CNC:0.2000000000 | MS:0.2000000000 | MU:0.2000000000 | SANM:0.2000000000,1.0,0.0
2000-08-16,2000-08-15,True,False,BRCM,MS,BEAM | BRCM | CNC | MU | SANM,BEAM:0.2000000000 | BRCM:0.2000000000 | CNC:0.2000000000 | MU:0.2000000000 | SANM:0.2000000000,1.0,0.0
2000-08-23,2000-08-22,True,False,MS,MU,BEAM | BRCM | CNC | MS | SANM,BEAM:0.2000000000 | BRCM:0.2000000000 | CNC:0.2000000000 | MS:0.2000000000 | SANM:0.2000000000,1.0,0.0
2000-08-30,2000-08-29,True,False,PALM | PSFT,BEAM | CNC,BRCM | MS | PALM | PSFT | SANM,BRCM:0.2000000000 | MS:0.2000000000 | PALM:0.2000000000 | PSFT:0.2000000000 | SANM:0.2000000000,1.0,0.0
2000-09-07,2000-09-06,True,False,HCR,MS,BRCM | HCR | PALM | PSFT | SANM,BRCM:0.2000000000 | HCR:0.2000000000 | PALM:0.2000000000 | PSFT:0.2000000000 | SANM:0.2000000000,1.0,0.0
2000-09-28,2000-09-27,True,False,LB,SANM,BRCM | HCR | LB | PALM | PSFT,BRCM:0.2000000000 | HCR:0.2000000000 | LB:0.2000000000 | PALM:0.2000000000 | PSFT:0.2000000000,1.0,0.0
2000-10-05,2000-10-04,True,False,NTAP | PWJ,BRCM | PALM,HCR | LB | NTAP | PSFT | PWJ,HCR:0.2000000000 | LB:0.2000000000 | NTAP:0.2000000000 | PSFT:0.2000000000 | PWJ:0.2000000000,1.0,0.0
2000-10-12,2000-10-11,True,False,BSC | PALM,NTAP | PWJ,BSC | HCR | LB | PALM | PSFT,BSC:0.2000000000 | HCR:0.2000000000 | LB:0.2000000000 | PALM:0.2000000000 | PSFT:0.2000000000,1.0,0.0
2000-10-19,2000-10-18,True,False,UIS,PSFT,BSC | HCR | LB | PALM | UIS,BSC:0.2000000000 | HCR:0.2000000000 | LB:0.2000000000 | PALM:0.2000000000 | UIS:0.2000000000,1.0,0.0
2000-10-26,2000-10-25,True,False,MERQ | SEBL | VRTS,BSC | LB | UIS,HCR | MERQ | PALM | SEBL | VRTS,HCR:0.2000000000 | MERQ:0.2000000000 | PALM:0.2000000000 | SEBL:0.2000000000 | VRTS:0.2000000000,1.0,0.0
2000-11-02,2000-11-01,True,False,ADI | HUM | MDR | NTAP,HCR | PALM | SEBL | VRTS,ADI | HUM | MDR | MERQ | NTAP,ADI:0.2000000000 | HUM:0.2000000000 | MDR:0.2000000000 | MERQ:0.2000000000 | NTAP:0.2000000000,1.0,0.0
2000-11-09,2000-11-08,True,False,PSFT | VRTS,ADI | MERQ,HUM | MDR | NTAP | PSFT | VRTS,HUM:0.2000000000 | MDR:0.2000000000 | NTAP:0.2000000000 | PSFT:0.2000000000 | VRTS:0.2000000000,1.0,0.0
2000-11-16,2000-11-15,True,False,PALM,HUM,MDR | NTAP | PALM | PSFT | VRTS,MDR:0.1000000000 | NTAP:0.1000000000 | PALM:0.1000000000 | PSFT:0.1000000000 | VRTS:0.1000000000,0.5,0.5
2000-11-24,2000-11-22,True,False,BBBY | HUM,MDR | VRTS,BBBY | HUM | NTAP | PALM | PSFT,BBBY:0.1000000000 | HUM:0.1000000000 | NTAP:0.1000000000 | PALM:0.1000000000 | PSFT:0.1000000000,0.5,0.5
2000-12-01,2000-11-30,True,False,HON | KG,NTAP | PALM,BBBY | HON | HUM | KG | PSFT,BBBY:0.1000000000 | HON:0.1000000000 | HUM:0.1000000000 | KG:0.1000000000 | PSFT:0.1000000000,0.5,0.5
2000-12-08,2000-12-07,True,False,PALM,BBBY,HON | HUM | KG | PALM | PSFT,HON:0.1000000000 | HUM:0.1000000000 | KG:0.1000000000 | PALM:0.1000000000 | PSFT:0.1000000000,0.5,0.5
