year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2000,1,2000-01-03,2000-01-07,2000-01-05,,2000-01-04,1.0,0.0,5,CTXS | FBF | NTAP | ORCL | QCOM,CTXS:0.2000000000 | FBF:0.2000000000 | NTAP:0.2000000000 | ORCL:0.2000000000 | QCOM:0.2000000000,2000-01-07,418
2000,2,2000-01-10,2000-01-14,2000-01-12,,2000-01-11,1.0,0.0,5,CTXS | FBF | NTAP | ORCL | QCOM,CTXS:0.2000000000 | FBF:0.2000000000 | NTAP:0.2000000000 | ORCL:0.2000000000 | QCOM:0.2000000000,2000-01-14,418
2000,3,2000-01-18,2000-01-21,2000-01-20,,2000-01-19,1.0,0.0,5,CTXS | FBF | NTAP | ORCL | QCOM,CTXS:0.2000000000 | FBF:0.2000000000 | NTAP:0.2000000000 | ORCL:0.2000000000 | QCOM:0.2000000000,2000-01-18,418
2000,4,2000-01-24,2000-01-28,2000-01-27,,2000-01-26,1.0,0.0,5,CTXS | FBF | NTAP | ORCL | QCOM,CTXS:0.2000000000 | FBF:0.2000000000 | NTAP:0.2000000000 | ORCL:0.2000000000 | QCOM:0.2000000000,2000-01-28,418
2000,5,2000-01-31,2000-02-04,2000-02-03,,2000-02-02,1.0,0.0,5,CTXS | FBF | NTAP | ORCL | QCOM,CTXS:0.2000000000 | FBF:0.2000000000 | NTAP:0.2000000000 | ORCL:0.2000000000 | QCOM:0.2000000000,2000-02-04,420
2000,6,2000-02-07,2000-02-11,2000-02-10,,2000-02-09,1.0,0.0,5,FBF | NOVL | NTAP | ORCL | QCOM,FBF:0.2000000000 | NOVL:0.2000000000 | NTAP:0.2000000000 | ORCL:0.2000000000 | QCOM:0.2000000000,2000-02-07,420
2000,7,2000-02-14,2000-02-18,2000-02-17,,2000-02-16,1.0,0.0,5,FBF | NOVL | NTAP | ORCL | QCOM,FBF:0.2000000000 | NOVL:0.2000000000 | NTAP:0.2000000000 | ORCL:0.2000000000 | QCOM:0.2000000000,2000-02-17,420
2000,8,2000-02-22,2000-02-25,2000-02-25,,2000-02-24,1.0,0.0,5,LB | MS | NOVL | NTAP | QCOM,LB:0.2000000000 | MS:0.2000000000 | NOVL:0.2000000000 | NTAP:0.2000000000 | QCOM:0.2000000000,2000-02-25,420
2000,9,2000-02-28,2000-03-03,2000-03-03,,2000-03-02,1.0,0.0,5,LB | MS | NOVL | NTAP | QCOM,LB:0.2000000000 | MS:0.2000000000 | NOVL:0.2000000000 | NTAP:0.2000000000 | QCOM:0.2000000000,2000-02-28,420
2000,10,2000-03-06,2000-03-10,2000-03-10,,2000-03-09,1.0,0.0,5,LB | MS | NOVL | NTAP | QTRN,LB:0.2000000000 | MS:0.2000000000 | NOVL:0.2000000000 | NTAP:0.2000000000 | QTRN:0.2000000000,2000-03-09,420
2000,11,2000-03-13,2000-03-17,2000-03-17,,2000-03-16,1.0,0.0,5,CNXT | LB | MS | NOVL | NTAP,CNXT:0.2000000000 | LB:0.2000000000 | MS:0.2000000000 | NOVL:0.2000000000 | NTAP:0.2000000000,2000-03-17,421
