year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2003,1,2003-01-02,2003-12-31,2003-01-02 | 2003-12-30,,2003-12-29,1.0,0.0,5,AMD | FBF | LU | NOVL | PMCS,AMD:0.2000000000 | FBF:0.2000000000 | LU:0.2000000000 | NOVL:0.2000000000 | PMCS:0.2000000000,2003-12-24,446
2003,2,2003-01-06,2003-01-10,2003-01-09,,2003-01-08,0.5,0.5,5,GLW | LU | PCS | PWER | T,GLW:0.1000000000 | LU:0.1000000000 | PCS:0.1000000000 | PWER:0.1000000000 | T:0.1000000000,2003-01-08,444
2003,3,2003-01-13,2003-01-17,2003-01-16,,2003-01-15,0.5,0.5,5,AES | GLW | LU | PCS | T,AES:0.1000000000 | GLW:0.1000000000 | LU:0.1000000000 | PCS:0.1000000000 | T:0.1000000000,2003-01-08,444
2003,4,2003-01-21,2003-01-24,2003-01-24,,2003-01-23,0.5,0.5,5,AES | GLW | LU | SEE | T,AES:0.1000000000 | GLW:0.1000000000 | LU:0.1000000000 | SEE:0.1000000000 | T:0.1000000000,2003-01-21,444
2003,5,2003-01-27,2003-01-31,2003-01-31,,2003-01-30,0.5,0.5,5,AES | GLW | SANM | SEE | T,AES:0.1000000000 | GLW:0.1000000000 | SANM:0.1000000000 | SEE:0.1000000000 | T:0.1000000000,2003-01-29,444
2003,6,2003-02-03,2003-02-07,2003-02-07,,2003-02-06,0.5,0.5,5,AES | GLW | SANM | SEE | T,AES:0.1000000000 | GLW:0.1000000000 | SANM:0.1000000000 | SEE:0.1000000000 | T:0.1000000000,2003-01-29,444
2003,7,2003-02-10,2003-02-14,2003-02-14,,2003-02-13,0.5,0.5,5,AES | GLW | SANM | SEE | T,AES:0.1000000000 | GLW:0.1000000000 | SANM:0.1000000000 | SEE:0.1000000000 | T:0.1000000000,2003-01-29,444
2003,8,2003-02-18,2003-02-21,,,2003-02-13,0.5,0.5,5,AES | GLW | SANM | SEE | T,AES:0.1000000000 | GLW:0.1000000000 | SANM:0.1000000000 | SEE:0.1000000000 | T:0.1000000000,2003-02-21,443
2003,9,2003-02-24,2003-02-28,2003-02-24,,2003-02-21,0.5,0.5,5,AES | DYN | JNS | MDR | SEE,AES:0.1000000000 | DYN:0.1000000000 | JNS:0.1000000000 | MDR:0.1000000000 | SEE:0.1000000000,2003-02-28,443
2003,10,2003-03-03,2003-03-07,2003-03-03,,2003-02-28,0.5,0.5,5,AES | DYN | JNS | MDR | SEE,AES:0.1000000000 | DYN:0.1000000000 | JNS:0.1000000000 | MDR:0.1000000000 | SEE:0.1000000000,2003-02-28,444
2003,11,2003-03-10,2003-03-14,2003-03-10,,2003-03-07,0.5,0.5,5,AYE | DYN | JNS | MDR | WMB,AYE:0.1000000000 | DYN:0.1000000000 | JNS:0.1000000000 | MDR:0.1000000000 | WMB:0.1000000000,2003-03-14,445
2003,12,2003-03-17,2003-03-21,2003-03-17,,2003-03-14,0.5,0.5,5,DYN | JNS | MDR | MSI | WMB,DYN:0.1000000000 | JNS:0.1000000000 | MDR:0.1000000000 | MSI:0.1000000000 | WMB:0.1000000000,2003-03-21,446
2003,13,2003-03-24,2003-03-28,2003-03-24,,2003-03-21,0.5,0.5,5,DYN | GLW | JNS | MSI | WMB,DYN:0.1000000000 | GLW:0.1000000000 | JNS:0.1000000000 | MSI:0.1000000000 | WMB:0.1000000000,2003-03-28,446
2003,14,2003-03-31,2003-04-04,2003-03-31,,2003-03-28,0.5,0.5,5,DYN | GLW | JNS | MSI | WMB,DYN:0.1000000000 | GLW:0.1000000000 | JNS:0.1000000000 | MSI:0.1000000000 | WMB:0.1000000000,2003-04-04,445
2003,15,2003-04-07,2003-04-11,2003-04-07,,2003-04-04,0.5,0.5,5,DYN | GLW | MSI | SBL | WMB,DYN:0.1000000000 | GLW:0.1000000000 | MSI:0.1000000000 | SBL:0.1000000000 | WMB:0.1000000000,2003-04-07,446
