year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2013,1,2013-01-02,2013-12-31,,,2013-12-24,1.0,0.0,5,CMG | DAL | FSLR | PBI | X,CMG:0.2000000000 | DAL:0.2000000000 | FSLR:0.2000000000 | PBI:0.2000000000 | X:0.2000000000,2013-12-31,474
2013,2,2013-01-07,2013-01-11,2013-01-07,,2013-01-04,1.0,0.0,5,ANF | ES | FSLR | JEF | NFLX,ANF:0.2000000000 | ES:0.2000000000 | FSLR:0.2000000000 | JEF:0.2000000000 | NFLX:0.2000000000,2013-01-08,470
2013,3,2013-01-14,2013-01-18,2013-01-14,,2013-01-11,1.0,0.0,5,ANF | FSLR | GNW | JEF | NFLX,ANF:0.2000000000 | FSLR:0.2000000000 | GNW:0.2000000000 | JEF:0.2000000000 | NFLX:0.2000000000,2013-01-16,470
2013,4,2013-01-22,2013-01-25,2013-01-22,,2013-01-18,1.0,0.0,5,ANF | FSLR | GNW | JEF | NFLX,ANF:0.2000000000 | FSLR:0.2000000000 | GNW:0.2000000000 | JEF:0.2000000000 | NFLX:0.2000000000,2013-01-16,470
2013,5,2013-01-28,2013-02-01,2013-01-29,,2013-01-28,1.0,0.0,5,ANF | FSLR | GNW | JEF | NFLX,ANF:0.2000000000 | FSLR:0.2000000000 | GNW:0.2000000000 | JEF:0.2000000000 | NFLX:0.2000000000,2013-01-29,470
2013,6,2013-02-04,2013-02-08,2013-02-05,,2013-02-04,1.0,0.0,5,ANF | FSLR | GNW | JEF | NFLX,ANF:0.2000000000 | FSLR:0.2000000000 | GNW:0.2000000000 | JEF:0.2000000000 | NFLX:0.2000000000,2013-02-06,470
2013,7,2013-02-11,2013-02-15,2013-02-12,,2013-02-11,1.0,0.0,5,ANF | FSLR | GNW | JEF | NFLX,ANF:0.2000000000 | FSLR:0.2000000000 | GNW:0.2000000000 | JEF:0.2000000000 | NFLX:0.2000000000,2013-02-15,470
2013,8,2013-02-19,2013-02-22,2013-02-20,,2013-02-19,1.0,0.0,5,AMD | FSLR | GNW | NYX | THC,AMD:0.2000000000 | FSLR:0.2000000000 | GNW:0.2000000000 | NYX:0.2000000000 | THC:0.2000000000,2013-02-19,470
2013,9,2013-02-25,2013-03-01,2013-02-27,,2013-02-26,1.0,0.0,5,AMD | GNW | NFLX | NYX | THC,AMD:0.2000000000 | GNW:0.2000000000 | NFLX:0.2000000000 | NYX:0.2000000000 | THC:0.2000000000,2013-02-27,470
2013,10,2013-03-04,2013-03-08,2013-03-06,,2013-03-05,1.0,0.0,5,DELL | GNW | NFLX | NYX | THC,DELL:0.2000000000 | GNW:0.2000000000 | NFLX:0.2000000000 | NYX:0.2000000000 | THC:0.2000000000,2013-02-27,469
2013,11,2013-03-11,2013-03-15,2013-03-13,,2013-03-12,1.0,0.0,5,DELL | GNW | NFLX | NYX | THC,DELL:0.2000000000 | GNW:0.2000000000 | NFLX:0.2000000000 | NYX:0.2000000000 | THC:0.2000000000,2013-03-15,469
