year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2015,1,2015-01-02,2015-01-02,,,2014-12-30,1.0,0.0,5,CFN | DAL | EW | MNST | TSCO,CFN:0.2000000000 | DAL:0.2000000000 | EW:0.2000000000 | MNST:0.2000000000 | TSCO:0.2000000000,2014-12-24,478
2015,2,2015-01-05,2015-01-09,2015-01-08,,2015-01-07,1.0,0.0,5,AVGO | DAL | EA | KMX | TSCO,AVGO:0.2000000000 | DAL:0.2000000000 | EA:0.2000000000 | KMX:0.2000000000 | TSCO:0.2000000000,2015-01-07,478
2015,3,2015-01-12,2015-01-16,2015-01-15,,2015-01-14,1.0,0.0,5,AVGO | DAL | EA | KMX | TSCO,AVGO:0.2000000000 | DAL:0.2000000000 | EA:0.2000000000 | KMX:0.2000000000 | TSCO:0.2000000000,2015-01-15,478
2015,4,2015-01-20,2015-01-23,2015-01-23,,2015-01-22,1.0,0.0,5,AVGO | DAL | EA | KMX | TSCO,AVGO:0.2000000000 | DAL:0.2000000000 | EA:0.2000000000 | KMX:0.2000000000 | TSCO:0.2000000000,2015-01-15,478
2015,5,2015-01-26,2015-01-30,2015-01-30,,2015-01-29,1.0,0.0,5,AVGO | DAL | EA | KMX | SPLS,AVGO:0.2000000000 | DAL:0.2000000000 | EA:0.2000000000 | KMX:0.2000000000 | SPLS:0.2000000000,2015-01-30,478
2015,6,2015-02-02,2015-02-06,2015-02-06,,2015-02-05,1.0,0.0,5,AVGO | EA | KMX | RCL | SPLS,AVGO:0.2000000000 | EA:0.2000000000 | KMX:0.2000000000 | RCL:0.2000000000 | SPLS:0.2000000000,2015-01-30,478
2015,7,2015-02-09,2015-02-13,2015-02-13,,2015-02-12,1.0,0.0,5,AVGO | EA | KMX | RCL | SPLS,AVGO:0.2000000000 | EA:0.2000000000 | KMX:0.2000000000 | RCL:0.2000000000 | SPLS:0.2000000000,2015-02-10,478
2015,8,2015-02-17,2015-02-20,,,2015-02-12,1.0,0.0,5,AVGO | EA | KMX | RCL | SPLS,AVGO:0.2000000000 | EA:0.2000000000 | KMX:0.2000000000 | RCL:0.2000000000 | SPLS:0.2000000000,2015-02-19,479
2015,9,2015-02-23,2015-02-27,2015-02-23,,2015-02-20,1.0,0.0,5,AVGO | KMX | NEM | RCL | SPLS,AVGO:0.2000000000 | KMX:0.2000000000 | NEM:0.2000000000 | RCL:0.2000000000 | SPLS:0.2000000000,2015-02-19,479
2015,10,2015-03-02,2015-03-06,2015-03-02,,2015-02-27,1.0,0.0,5,AVGO | NEM | NFLX | RCL | SPLS,AVGO:0.2000000000 | NEM:0.2000000000 | NFLX:0.2000000000 | RCL:0.2000000000 | SPLS:0.2000000000,2015-03-03,479
2015,11,2015-03-09,2015-03-13,2015-03-09,,2015-03-06,1.0,0.0,5,HAR | NEM | NFLX | NFX | SPLS,HAR:0.2000000000 | NEM:0.2000000000 | NFLX:0.2000000000 | NFX:0.2000000000 | SPLS:0.2000000000,2015-03-13,479
2015,12,2015-03-16,2015-03-20,2015-03-16,,2015-03-13,1.0,0.0,5,HAR | HSP | NEM | NFLX | NFX,HAR:0.2000000000 | HSP:0.2000000000 | NEM:0.2000000000 | NFLX:0.2000000000 | NFX:0.2000000000,2015-03-19,478
2015,13,2015-03-23,2015-03-27,2015-03-23,,2015-03-20,1.0,0.0,5,HAR | HSP | NEM | NFLX | NFX,HAR:0.2000000000 | HSP:0.2000000000 | NEM:0.2000000000 | NFLX:0.2000000000 | NFX:0.2000000000,2015-03-27,479
2015,14,2015-03-30,2015-04-02,2015-03-30,,2015-03-27,1.0,0.0,5,HAR | HSP | NEM | NFLX | NFX,HAR:0.2000000000 | HSP:0.2000000000 | NEM:0.2000000000 | NFLX:0.2000000000 | NFX:0.2000000000,2015-03-31,479
2015,15,2015-04-06,2015-04-10,2015-04-07,,2015-04-06,1.0,0.0,5,HAR | HSP | NEM | NFLX | NFX,HAR:0.2000000000 | HSP:0.2000000000 | NEM:0.2000000000 | NFLX:0.2000000000 | NFX:0.2000000000,2015-04-08,479
