year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2022,1,2022-01-03,2022-01-07,2022-01-04,,2022-01-03,1.0,0.0,5,AMD | DLTR | ENPH | NVDA | TSLA,AMD:0.2000000000 | DLTR:0.2000000000 | ENPH:0.2000000000 | NVDA:0.2000000000 | TSLA:0.2000000000,2021-12-20,505
2022,2,2022-01-10,2022-01-14,2022-01-11,,2022-01-10,1.0,0.0,5,AMD | DLTR | ENPH | NVDA | TSLA,AMD:0.2000000000 | DLTR:0.2000000000 | ENPH:0.2000000000 | NVDA:0.2000000000 | TSLA:0.2000000000,2022-01-10,505
2022,3,2022-01-18,2022-01-21,2022-01-19,,2022-01-18,1.0,0.0,5,ANET | DLTR | F | NVDA | TER,ANET:0.2000000000 | DLTR:0.2000000000 | F:0.2000000000 | NVDA:0.2000000000 | TER:0.2000000000,2022-01-10,505
2022,4,2022-01-24,2022-01-28,2022-01-26,,2022-01-25,1.0,0.0,5,ANET | DLTR | F | NVDA | TER,ANET:0.2000000000 | DLTR:0.2000000000 | F:0.2000000000 | NVDA:0.2000000000 | TER:0.2000000000,2022-01-10,505
2022,5,2022-01-31,2022-02-04,2022-02-02,,2022-02-01,1.0,0.0,5,ANET | CF | DLTR | QCOM | TER,ANET:0.2000000000 | CF:0.2000000000 | DLTR:0.2000000000 | QCOM:0.2000000000 | TER:0.2000000000,2022-02-02,505
2022,6,2022-02-07,2022-02-11,2022-02-09,,2022-02-08,1.0,0.0,5,DISCK | DLTR | F | MU | WDC,DISCK:0.2000000000 | DLTR:0.2000000000 | F:0.2000000000 | MU:0.2000000000 | WDC:0.2000000000,2022-02-02,505
2022,7,2022-02-14,2022-02-18,2022-02-16,,2022-02-15,1.0,0.0,5,F | HAL | MRO | MU | WTW,F:0.2000000000 | HAL:0.2000000000 | MRO:0.2000000000 | MU:0.2000000000 | WTW:0.2000000000,2022-02-17,505
2022,8,2022-02-22,2022-02-25,2022-02-24,,2022-02-23,1.0,0.0,5,ATVI | DVN | HAL | MRO | WTW,ATVI:0.2000000000 | DVN:0.2000000000 | HAL:0.2000000000 | MRO:0.2000000000 | WTW:0.2000000000,2022-02-17,505
2022,9,2022-02-28,2022-03-04,2022-03-03,,2022-03-02,1.0,0.0,5,APA | ATVI | HAL | MRO | WTW,APA:0.2000000000 | ATVI:0.2000000000 | HAL:0.2000000000 | MRO:0.2000000000 | WTW:0.2000000000,2022-03-02,505
2022,10,2022-03-07,2022-03-11,2022-03-10,,2022-03-09,1.0,0.0,5,APA | ATVI | HAL | MRO | WTW,APA:0.2000000000 | ATVI:0.2000000000 | HAL:0.2000000000 | MRO:0.2000000000 | WTW:0.2000000000,2022-03-02,505
2022,11,2022-03-14,2022-03-18,2022-03-17,,2022-03-16,1.0,0.0,5,APA | ATVI | HAL | MRO | WTW,APA:0.2000000000 | ATVI:0.2000000000 | HAL:0.2000000000 | MRO:0.2000000000 | WTW:0.2000000000,2022-03-02,505
2022,12,2022-03-21,2022-03-25,2022-03-24,,2022-03-23,1.0,0.0,5,APA | ATVI | HAL | MRO | WTW,APA:0.2000000000 | ATVI:0.2000000000 | HAL:0.2000000000 | MRO:0.2000000000 | WTW:0.2000000000,2022-03-02,505
2022,13,2022-03-28,2022-04-01,2022-03-31,,2022-03-30,1.0,0.0,5,APA | HAL | MRO | OXY | WTW,APA:0.2000000000 | HAL:0.2000000000 | MRO:0.2000000000 | OXY:0.2000000000 | WTW:0.2000000000,2022-03-02,505
