year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2025,1,2025-01-02,2025-12-31,2025-12-30,,2025-12-29,1.0,0.0,5,ALB | MU | SNDK | TER | WDC,ALB:0.2000000000 | MU:0.2000000000 | SNDK:0.2000000000 | TER:0.2000000000 | WDC:0.2000000000,2025-12-22,503
2025,2,2025-01-06,2025-01-10,2025-01-07,,2025-01-06,1.0,0.0,5,AXON | PLTR | TPL | TSLA | UAL,AXON:0.2000000000 | PLTR:0.2000000000 | TPL:0.2000000000 | TSLA:0.2000000000 | UAL:0.2000000000,2024-12-23,503
2025,3,2025-01-13,2025-01-17,2025-01-15,,2025-01-14,1.0,0.0,5,AXON | PLTR | TSLA | UAL | WBD,AXON:0.2000000000 | PLTR:0.2000000000 | TSLA:0.2000000000 | UAL:0.2000000000 | WBD:0.2000000000,2024-12-23,503
2025,4,2025-01-21,2025-01-24,2025-01-23,,2025-01-22,1.0,0.0,5,AXON | PLTR | TSLA | UAL | WBD,AXON:0.2000000000 | PLTR:0.2000000000 | TSLA:0.2000000000 | UAL:0.2000000000 | WBD:0.2000000000,2024-12-23,503
2025,5,2025-01-27,2025-01-31,2025-01-30,,2025-01-29,1.0,0.0,5,AXON | PLTR | TSLA | UAL | WBD,AXON:0.2000000000 | PLTR:0.2000000000 | TSLA:0.2000000000 | UAL:0.2000000000 | WBD:0.2000000000,2024-12-23,503
2025,6,2025-02-03,2025-02-07,2025-02-06,,2025-02-05,1.0,0.0,5,AXON | PLTR | TSLA | VST | WBD,AXON:0.2000000000 | PLTR:0.2000000000 | TSLA:0.2000000000 | VST:0.2000000000 | WBD:0.2000000000,2024-12-23,503
2025,7,2025-02-10,2025-02-14,2025-02-13,,2025-02-12,1.0,0.0,5,AVGO | SMCI | TPR | TSLA | WBA,AVGO:0.2000000000 | SMCI:0.2000000000 | TPR:0.2000000000 | TSLA:0.2000000000 | WBA:0.2000000000,2024-12-23,503
2025,8,2025-02-18,2025-02-21,2025-02-21,,2025-02-20,1.0,0.0,5,AVGO | SMCI | TPR | TSLA | WBA,AVGO:0.2000000000 | SMCI:0.2000000000 | TPR:0.2000000000 | TSLA:0.2000000000 | WBA:0.2000000000,2024-12-23,503
2025,9,2025-02-24,2025-02-28,2025-02-28,,2025-02-27,1.0,0.0,5,AVGO | PLTR | TPR | TSLA | WBA,AVGO:0.2000000000 | PLTR:0.2000000000 | TPR:0.2000000000 | TSLA:0.2000000000 | WBA:0.2000000000,2024-12-23,503
2025,10,2025-03-03,2025-03-07,2025-03-07,,2025-03-06,1.0,0.0,5,AVGO | CEG | LULU | PLTR | TPR,AVGO:0.2000000000 | CEG:0.2000000000 | LULU:0.2000000000 | PLTR:0.2000000000 | TPR:0.2000000000,2024-12-23,503
2025,11,2025-03-10,2025-03-14,2025-03-14,,2025-03-13,1.0,0.0,5,AVGO | CEG | CRWD | PLTR | TPR,AVGO:0.2000000000 | CEG:0.2000000000 | CRWD:0.2000000000 | PLTR:0.2000000000 | TPR:0.2000000000,2024-12-23,503
2025,12,2025-03-17,2025-03-21,2025-03-21,,2025-03-20,1.0,0.0,5,CEG | CVS | PLTR | SMCI | TPR,CEG:0.2000000000 | CVS:0.2000000000 | PLTR:0.2000000000 | SMCI:0.2000000000 | TPR:0.2000000000,2024-12-23,503
2025,13,2025-03-24,2025-03-28,2025-03-28,,2025-03-27,1.0,0.0,5,CEG | CVS | NRG | SMCI | TPR,CEG:0.2000000000 | CVS:0.2000000000 | NRG:0.2000000000 | SMCI:0.2000000000 | TPR:0.2000000000,2025-03-24,503
2025,14,2025-03-31,2025-04-04,2025-04-04,,2025-04-03,1.0,0.0,5,CVS | SMCI | TPL | TPR | UBER,CVS:0.2000000000 | SMCI:0.2000000000 | TPL:0.2000000000 | TPR:0.2000000000 | UBER:0.2000000000,2025-03-24,503
2025,15,2025-04-07,2025-04-11,2025-04-11,,2025-04-10,1.0,0.0,5,BAX | CVS | PLTR | SMCI | WBA,BAX:0.2000000000 | CVS:0.2000000000 | PLTR:0.2000000000 | SMCI:0.2000000000 | WBA:0.2000000000,2025-03-24,503
2025,16,2025-04-14,2025-04-17,,,2025-04-10,1.0,0.0,5,BAX | CVS | PLTR | SMCI | WBA,BAX:0.2000000000 | CVS:0.2000000000 | PLTR:0.2000000000 | SMCI:0.2000000000 | WBA:0.2000000000,2025-03-24,503
2025,17,2025-04-21,2025-04-25,2025-04-21,,2025-04-17,1.0,0.0,5,CVS | INTC | PLTR | SMCI | WBD,CVS:0.2000000000 | INTC:0.2000000000 | PLTR:0.2000000000 | SMCI:0.2000000000 | WBD:0.2000000000,2025-03-24,503
2025,18,2025-04-28,2025-05-02,2025-04-28,,2025-04-25,1.0,0.0,5,CVS | EA | INTC | PLTR | SMCI,CVS:0.2000000000 | EA:0.2000000000 | INTC:0.2000000000 | PLTR:0.2000000000 | SMCI:0.2000000000,2025-03-24,503
2025,19,2025-05-05,2025-05-09,2025-05-05,,2025-05-02,1.0,0.0,5,CVS | DG | EA | INTC | SMCI,CVS:0.2000000000 | DG:0.2000000000 | EA:0.2000000000 | INTC:0.2000000000 | SMCI:0.2000000000,2025-03-24,503
2025,20,2025-05-12,2025-05-16,2025-05-12,,2025-05-09,1.0,0.0,5,CVS | DG | HII | INTC | MOH,CVS:0.2000000000 | DG:0.2000000000 | HII:0.2000000000 | INTC:0.2000000000 | MOH:0.2000000000,2025-03-24,503
2025,21,2025-05-19,2025-05-23,2025-05-19,,2025-05-16,1.0,0.0,5,DG | HII | MOH | UNH | WBA,DG:0.2000000000 | HII:0.2000000000 | MOH:0.2000000000 | UNH:0.2000000000 | WBA:0.2000000000,2025-05-19,503
2025,22,2025-05-27,2025-05-30,2025-05-27,,2025-05-23,1.0,0.0,5,AXON | DG | GEV | HII | PLTR,AXON:0.2000000000 | DG:0.2000000000 | GEV:0.2000000000 | HII:0.2000000000 | PLTR:0.2000000000,2025-05-19,503
2025,23,2025-06-02,2025-06-06,2025-06-03,,2025-06-02,1.0,0.0,5,AXON | GEV | HII | PLTR | PWR,AXON:0.2000000000 | GEV:0.2000000000 | HII:0.2000000000 | PLTR:0.2000000000 | PWR:0.2000000000,2025-05-19,503
2025,24,2025-06-09,2025-06-13,2025-06-10,,2025-06-09,1.0,0.0,5,AXON | GEV | NRG | PLTR | PWR,AXON:0.2000000000 | GEV:0.2000000000 | NRG:0.2000000000 | PLTR:0.2000000000 | PWR:0.2000000000,2025-05-19,503
2025,25,2025-06-16,2025-06-20,2025-06-17,,2025-06-16,1.0,0.0,5,AXON | GEV | NRG | PLTR | TSLA,AXON:0.2000000000 | GEV:0.2000000000 | NRG:0.2000000000 | PLTR:0.2000000000 | TSLA:0.2000000000,2025-05-19,503
2025,26,2025-06-23,2025-06-27,2025-06-25,,2025-06-24,1.0,0.0,5,AXON | GEV | NRG | PLTR | TSLA,AXON:0.2000000000 | GEV:0.2000000000 | NRG:0.2000000000 | PLTR:0.2000000000 | TSLA:0.2000000000,2025-05-19,503
2025,27,2025-06-30,2025-07-03,2025-07-02,,2025-07-01,1.0,0.0,5,AXON | GEV | NRG | PLTR | TSLA,AXON:0.2000000000 | GEV:0.2000000000 | NRG:0.2000000000 | PLTR:0.2000000000 | TSLA:0.2000000000,2025-05-19,503
2025,28,2025-07-07,2025-07-11,2025-07-10,,2025-07-09,1.0,0.0,5,GEV | MCHP | NRG | PLTR | VST,GEV:0.2000000000 | MCHP:0.2000000000 | NRG:0.2000000000 | PLTR:0.2000000000 | VST:0.2000000000,2025-07-09,503
2025,29,2025-07-14,2025-07-18,2025-07-17,,2025-07-16,1.0,0.0,5,GEV | MCHP | NRG | PLTR | VST,GEV:0.2000000000 | MCHP:0.2000000000 | NRG:0.2000000000 | PLTR:0.2000000000 | VST:0.2000000000,2025-07-18,503
2025,30,2025-07-21,2025-07-25,2025-07-24,,2025-07-23,1.0,0.0,5,GEV | MCHP | MU | NRG | VST,GEV:0.2000000000 | MCHP:0.2000000000 | MU:0.2000000000 | NRG:0.2000000000 | VST:0.2000000000,2025-07-23,503
2025,31,2025-07-28,2025-08-01,2025-07-31,,2025-07-30,1.0,0.0,5,COIN | MCHP | MU | NRG | VST,COIN:0.2000000000 | MCHP:0.2000000000 | MU:0.2000000000 | NRG:0.2000000000 | VST:0.2000000000,2025-07-23,503
2025,32,2025-08-04,2025-08-08,2025-08-07,,2025-08-06,1.0,0.0,5,COIN | MCHP | MU | ON | SMCI,COIN:0.2000000000 | MCHP:0.2000000000 | MU:0.2000000000 | ON:0.2000000000 | SMCI:0.2000000000,2025-08-08,503
2025,33,2025-08-11,2025-08-15,2025-08-14,,2025-08-13,1.0,0.0,5,AMD | COIN | ON | SMCI | WDC,AMD:0.2000000000 | COIN:0.2000000000 | ON:0.2000000000 | SMCI:0.2000000000 | WDC:0.2000000000,2025-08-08,503
2025,34,2025-08-18,2025-08-22,2025-08-21,,2025-08-20,1.0,0.0,5,ALB | AMD | COIN | ON | WDC,ALB:0.2000000000 | AMD:0.2000000000 | COIN:0.2000000000 | ON:0.2000000000 | WDC:0.2000000000,2025-08-08,503
2025,35,2025-08-25,2025-08-29,2025-08-28,,2025-08-27,1.0,0.0,5,AMD | COIN | ON | SMCI | WDC,AMD:0.2000000000 | COIN:0.2000000000 | ON:0.2000000000 | SMCI:0.2000000000 | WDC:0.2000000000,2025-08-28,503
2025,36,2025-09-02,2025-09-05,2025-09-05,,2025-09-04,1.0,0.0,5,AMD | NCLH | PLTR | SMCI | WDC,AMD:0.2000000000 | NCLH:0.2000000000 | PLTR:0.2000000000 | SMCI:0.2000000000 | WDC:0.2000000000,2025-08-28,503
