year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2026,1,2026-01-02,2026-01-02,,,2025-12-29,1.0,0.0,5,ALB | MU | SNDK | TER | WDC,ALB:0.2000000000 | MU:0.2000000000 | SNDK:0.2000000000 | TER:0.2000000000 | WDC:0.2000000000,2025-12-22,503
2026,2,2026-01-05,2026-01-09,2026-01-07,,2026-01-06,1.0,0.0,5,ALB | SNDK | TER | WBD | WDC,ALB:0.2000000000 | SNDK:0.2000000000 | TER:0.2000000000 | WBD:0.2000000000 | WDC:0.2000000000,2025-12-22,503
2026,3,2026-01-12,2026-01-16,2026-01-14,,2026-01-13,1.0,0.0,5,ALB | SNDK | TER | WBD | WDC,ALB:0.2000000000 | SNDK:0.2000000000 | TER:0.2000000000 | WBD:0.2000000000 | WDC:0.2000000000,2026-01-14,503
2026,4,2026-01-20,2026-01-23,2026-01-22,,2026-01-21,1.0,0.0,5,ALB | SNDK | TER | WBD | WDC,ALB:0.2000000000 | SNDK:0.2000000000 | TER:0.2000000000 | WBD:0.2000000000 | WDC:0.2000000000,2026-01-14,503
2026,5,2026-01-26,2026-01-30,2026-01-29,,2026-01-28,1.0,0.0,5,ALB | SNDK | TER | WBD | WDC,ALB:0.2000000000 | SNDK:0.2000000000 | TER:0.2000000000 | WBD:0.2000000000 | WDC:0.2000000000,2026-01-14,503
2026,6,2026-02-02,2026-02-06,2026-02-05,,2026-02-04,1.0,0.0,5,ALB | DECK | EXPE | MU | SNDK,ALB:0.2000000000 | DECK:0.2000000000 | EXPE:0.2000000000 | MU:0.2000000000 | SNDK:0.2000000000,2026-01-14,503
2026,7,2026-02-09,2026-02-13,2026-02-12,,2026-02-11,1.0,0.0,5,ALB | CVNA | MRNA | MU | SNDK,ALB:0.2000000000 | CVNA:0.2000000000 | MRNA:0.2000000000 | MU:0.2000000000 | SNDK:0.2000000000,2026-02-09,503
2026,8,2026-02-17,2026-02-20,2026-02-20,,2026-02-19,1.0,0.0,5,ALB | CVNA | MRNA | MU | SNDK,ALB:0.2000000000 | CVNA:0.2000000000 | MRNA:0.2000000000 | MU:0.2000000000 | SNDK:0.2000000000,2026-02-09,503
2026,9,2026-02-23,2026-02-27,2026-02-27,,2026-02-26,1.0,0.0,5,ALB | CVNA | MRNA | MU | SNDK,ALB:0.2000000000 | CVNA:0.2000000000 | MRNA:0.2000000000 | MU:0.2000000000 | SNDK:0.2000000000,2026-02-09,503
2026,10,2026-03-02,2026-03-06,2026-03-06,,2026-03-05,1.0,0.0,5,MRNA | MU | SNDK | STX | WDC,MRNA:0.2000000000 | MU:0.2000000000 | SNDK:0.2000000000 | STX:0.2000000000 | WDC:0.2000000000,2026-02-09,503
2026,11,2026-03-09,2026-03-13,2026-03-13,,2026-03-12,1.0,0.0,5,MRNA | MU | SNDK | STX | WDC,MRNA:0.2000000000 | MU:0.2000000000 | SNDK:0.2000000000 | STX:0.2000000000 | WDC:0.2000000000,2026-02-09,503
